qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
WP_003511526.1	CC	0016021	integral component of membrane	0.78770596059	0.433569066402	1
WP_003511526.1	BP	0055085	transmembrane transport	0.704013058355	0.426530765695	1
WP_003511531.1	BP	0000160	phosphorelay signal transduction system	5.14072645669	0.633914430904	1
WP_003511531.1	MF	0003677	DNA binding	3.10839624489	0.56069695773	1
WP_003511531.1	MF	0000156	phosphorelay response regulator activity	0.821552879637	0.436308632785	6
WP_003511531.1	BP	0006355	regulation of transcription, DNA-templated	3.55995359609	0.578661026543	7
WP_003511531.1	BP	0006817	phosphate ion transport	0.66914414942	0.423475388309	26
WP_003511534.1	MF	0008233	peptidase activity	4.68770093077	0.619073959213	1
WP_003511534.1	BP	0006508	proteolysis	4.37716103168	0.608482588569	1
WP_003511544.1	MF	0016790	thiolester hydrolase activity	9.24020086871	0.746074585271	1
WP_003511544.1	BP	0006633	fatty acid biosynthetic process	7.40193353009	0.699738302817	1
WP_003511546.1	MF	0016787	hydrolase activity	2.26853456232	0.523395232959	1
WP_003511546.1	CC	0016021	integral component of membrane	0.0362324452696	0.332338561701	1
WP_003511547.1	MF	0016787	hydrolase activity	2.26914779899	0.523424790118	1
WP_003511548.1	MF	0030246	carbohydrate binding	2.47943948106	0.533335346692	1
WP_003511548.1	CC	0016021	integral component of membrane	0.525291148368	0.409936563478	1
WP_003511549.1	MF	0051536	iron-sulfur cluster binding	4.87928147908	0.625433669256	1
WP_003511549.1	BP	0015995	chlorophyll biosynthetic process	0.099850433168	0.35058192102	1
WP_003511549.1	CC	0016021	integral component of membrane	0.00807960569179	0.317751538223	1
WP_003511549.1	MF	0046872	metal ion binding	1.91395829791	0.505578220206	4
WP_003511549.1	BP	0015979	photosynthesis	0.0632939005013	0.341229821188	7
WP_003511549.1	MF	0003824	catalytic activity	0.624935241764	0.419484731997	8
WP_003511549.1	BP	0055114	oxidation-reduction process	0.0212814657976	0.325882020552	13
WP_003511558.1	MF	0008168	methyltransferase activity	5.19311899058	0.635587798813	1
WP_003511558.1	BP	0032259	methylation	5.06792754256	0.631575081793	1
WP_003511558.1	MF	0003723	RNA binding	3.53303254719	0.577623187937	3
WP_003511560.1	BP	0000160	phosphorelay signal transduction system	5.14005278305	0.633892859016	1
