qpid	cluster_GSZ	cluster_RM1sum	cluster_size	cluster_desccount	RM2	val_avg	jac_avg	desc	genename
WP_003511526.1	386.553441607	5.5800121495	8	1716	0.788025588401	0.0818938640256	2.31912202609e-05	Membrane spanning protein	
WP_003511526.1	60.8146493986	15.8134932127	23	552354	0.727059634605	0.212705201272	9.08592942044e-07	ABC transporter permease [Ruminiclostridium thermocellum]	
WP_003511526.1	42.9928127835	2.04851127688	3	18641	0.653439751733	0.0872502209779	4.75043047004e-07	ABC-2 type transport system permease protein	
WP_003511531.1	118.46156161	9.76660667914	13	17104	0.656004814986	0.0351324023365	8.5517696427e-07	Two component transcriptional regulator	
WP_003511531.1	95.8821892515	8.08707372864	11	17892	0.645339425204	0.0320494982474	1.57716250528e-05	Transcriptional regulatory protein SrrA	
WP_003511531.1	94.5069319497	6.56560992231	9	12143	0.638739596315	0.0206354695398	1.23395764334e-06	DNA-binding response regulator, OmpR family, contains REC and winged-helix (WHTH) domain	
WP_003511531.1	66.7508450388	2.24953094121	3	2859	0.63400001085	0.0326407900155	2.70629236144e-06	Alkaline phosphatase synthesis transcriptional regulatory protein SphR	
WP_003511531.1	75.0996988812	34.5288343449	47	526225	0.631480950266	0.02158690085	6.6313220991e-07	Response regulator transcription factor	
WP_003511531.1	21.1403356662	10.2117557984	14	556492	0.622463495705	0.0452968472341	1.62023203729e-06	Predicted transcriptional regulator	
WP_003511531.1	27.3735833989	0.723013788255	1	1754	0.601299399818	0.00066031100728	8.1232054977e-08	Sensory transduction protein regX3	
WP_003511534.1	1786.82533299	41.7557801161	69	2552	1.3741208142	0.130849676766	0.00201761598913	Sporulation protein YyaC	YYAC
WP_003511534.1	587.555796946	1.95994445378	3	52	0.855646738836	0.0577813910596	1.41398235083e-05	Spore protease GPR related protein	YYAC
WP_003511534.1	396.988912515	0.580724315696	1	2	0.748795565006	0.0	0.0	Beta-fructosidases	YYAC
WP_003511534.1	30.3959013552	1.74426757373	3	15297	0.656066124618	0.101711955957	2.13709513335e-05	Sporulation protein	YYAC
WP_003511534.1	27.3524232203	0.717864177617	1	3209	0.650000059469	0.0925641896811	3.48249043859e-06	Germination protease	YYAC
WP_003511544.1	500.944465006	5.36624496765	7	3671	1.16122511987	0.699711006523	2.50204437377e-05	acyl-ACP thioesterase [Ruminiclostridium thermocellum]	
WP_003511546.1	200.940469094	1.41480936785	2	942	0.675936468548	0.0104908954435	5.31628155098e-06	Phosphorylated carbohydrates phosphatase	
WP_003511546.1	128.769300514	1.57326712024	2	2836	0.644559773234	0.00575858843356	5.79071436263e-08	Haloacid dehalogenase superfamily enzyme, subfamily IA	
WP_003511546.1	89.7648202901	6.51913374916	9	100086	0.635699383302	0.0184781973216	5.30251944598e-07	HAD family phosphatase [Ruminiclostridium thermocellum]	
WP_003511547.1	186.700708743	1.79069798453	2	6276	0.677674840111	0.0245180305955	1.98969048134e-08	Cof-type HAD-IIB family hydrolase [Ruminiclostridium thermocellum]	
WP_003511547.1	87.9024976178	0.600728112895	1	3186	0.634666402087	0.0179347220675	1.72158567529e-08	Putative phosphatase	
WP_003511548.1	258.0267405	32.467914537	48	52128	0.754781232788	0.116167147143	9.7430117644e-05	VWFA domain-containing protein	
WP_003511548.1	243.744046544	15.3341550956	23	13035	0.7128420951	0.0478191405766	1.65988535919e-05	von Willebrand factor type A	
WP_003511548.1	177.299421181	7.36418811432	11	5682	0.672264910741	0.0214058315747	2.57672120741e-06	Ca-activated chloride channel family protein	
WP_003511548.1	50.3410204608	4.92803509337	7	31410	0.616292705198	0.0116155820581	1.92616195027e-06	VWA domain-containing protein	
WP_003511549.1	94.8439020826	4.08299154384	5	66906	0.644688416984	0.031605368177	5.50864735813e-07	radical SAM protein [Ruminiclostridium thermocellum]	
