Protein	hpt_T1_rep1	hpt_T1_rep2	hpt_T1_rep3	hpt_T1_rep4	hpt_T2_rep1	hpt_T2_rep2	hpt_T2_rep3	hpt_T2_rep4	hpt_T3_rep1	hpt_T3_rep2	hpt_T3_rep3	hpt_T3_rep4
WP_003517959.1	24.3355202409663	25.3698926053423	24.0828478882194	23.5814575436395	23.7834454851418	25.0916813324092	24.2899055663595	23.3194345497438	0	20.6021613808018	0	21.9260861833451
WP_003512585.1	0	0	0	0	0	0	23.4882422426534	0	0	23.3097229821074	0	0
WP_003516661.1	26.3288085466782	26.0987321452223	26.6957420791678	27.7080846930431	26.3376849949986	28.5727198499145	27.5365069814304	27.3591597626165	26.7226779279239	26.5732585186852	27.242086934778	27.0551735064616
WP_003518177.1	29.3867174005441	29.2163578905271	29.3568871259615	29.4045379395688	29.3414943976016	29.4021456784489	29.2331727588503	29.2111876629542	29.1782567273289	29.2142218718579	28.9528815520293	28.6071964066893
WP_003513624.1	27.0515797941468	27.6966930678735	28.1120852179464	26.9113244203036	27.3581586220583	27.5270708289748	27.2949821571265	26.530469689866	27.2642698062667	27.2235402544552	26.3382577673874	26.5176664783187
WP_003517270.1	0	22.632626194435	21.8505717680925	0	23.5595467422386	0	23.9172938136948	23.6807002340281	23.3278993866636	22.582709837283	20.9693299091059	0
WP_003514581.1	28.9373718967394	28.4480281764788	28.6124047446145	28.9016757816275	28.5624221128938	28.8714682923318	28.4848093146796	28.6753903229306	26.9544831502741	28.7898288998791	28.8794336599505	28.7875702704359
WP_003515703.1	26.4220061404829	25.8512280806366	26.3285631230676	25.8456547451392	26.3280102801606	26.2651970356722	24.9071641692208	26.3138348073342	26.23029860463	25.5907060317858	26.4356878260756	26.5628462925303
WP_003516667.1	25.6069524316278	26.3256629307729	26.4701421076638	26.1421553601731	26.2727194199193	26.239926269129	26.2165315990492	26.1336831064784	26.0852380691368	26.3358252679737	24.5311508290926	26.280666853115
WP_003518917.1	27.0780713147613	26.3272051471627	26.6422009127055	27.250092049376	28.1976772956964	27.2587711181845	28.2533171464219	28.2030997789969	26.9036076141896	27.699326643271	27.9330047322693	28.0084761044704
