GO.ID	Term	Annotated	Significant	Expected	Rank in elimFisher	weight01Fisher	elimFisher	Protein	PUF
GO:1901136	carbohydrate derivative catabolic proces...	54	4	1.38	11	0.019	0.045	WP_003515597.1;WP_003515602.1;WP_003516667.1;WP_003518239.1	WP_003513014.1;WP_003516198.1;WP_003516256.1;WP_003518280.1
GO:0071897	DNA biosynthetic process	12	2	0.31	2	0.036	0.036	ADU73817.1;WP_003511616.1	WP_003513014.1;WP_003516198.1;WP_003516256.1;WP_003518280.1
GO:0009306	protein secretion	12	2	0.31	3	0.036	0.036	WP_003517983.1;WP_003518239.1	WP_003513014.1;WP_003516198.1;WP_003516256.1;WP_003518280.1
GO:0046434	organophosphate catabolic process	64	5	1.64	1	0.046	0.021	WP_003515597.1;WP_003515602.1;WP_003516667.1;WP_003517880.1;WP_003518239.1	WP_003513014.1;WP_003516198.1;WP_003516256.1;WP_003518280.1
GO:0046390	ribose phosphate biosynthetic process	77	3	1.97	112	0.050	0.315	NA	NA
GO:0032508	DNA duplex unwinding	15	2	0.38	14	0.054	0.054	NA	NA
GO:0016311	dephosphorylation	17	2	0.44	17	0.068	0.068	NA	NA
GO:0009166	nucleotide catabolic process	61	4	1.56	16	0.094	0.066	NA	NA
GO:0006364	rRNA processing	27	2	0.69	36	0.150	0.150	NA	NA
GO:0018193	peptidyl-amino acid modification	27	2	0.69	37	0.150	0.150	NA	NA
GO:0006807	nitrogen compound metabolic process	758	21	19.42	132	0.156	0.344	NA	NA
GO:0009605	response to external stimulus	64	3	1.64	51	0.164	0.223	NA	NA
GO:0008033	tRNA processing	31	2	0.79	45	0.165	0.187	NA	NA
GO:0034655	nucleobase-containing compound catabolic...	75	5	1.92	6	0.212	0.038	NA	NA
GO:0006974	cellular response to DNA damage stimulus	57	3	1.46	43	0.224	0.176	NA	NA
GO:0032984	protein-containing complex disassembly	10	1	0.26	52	0.229	0.229	NA	NA
GO:0006605	protein targeting	10	1	0.26	53	0.229	0.229	NA	NA
GO:0051701	interaction with host	10	1	0.26	54	0.229	0.229	NA	NA
GO:0044780	bacterial-type flagellum assembly	10	1	0.26	55	0.229	0.229	NA	NA
