GO.ID	Term	Annotated	Significant	Expected	Rank in elimFisher	weight01Fisher	elimFisher	Protein	PUF
GO:0006222	UMP biosynthetic process	10	3	0.49	3	0.010	0.01029	WP_003513826.1;WP_003515461.1;WP_003518639.1	WP_003515960.1;WP_003517679.1;WP_003517957.1;WP_003519430.1;WP_014522611.1;WP_014522644.1
GO:0046112	nucleobase biosynthetic process	11	3	0.54	4	0.014	0.01366	WP_003513826.1;WP_003515461.1;WP_003518639.1	WP_003515960.1;WP_003517679.1;WP_003517957.1;WP_003519430.1;WP_014522611.1;WP_014522644.1
GO:0009130	pyrimidine nucleoside monophosphate bios...	17	5	0.83	1	0.028	0.00091	WP_003513826.1;WP_003515461.1;WP_003518639.1;WP_003518900.1;WP_003518901.1	WP_003515960.1;WP_003517679.1;WP_003517957.1;WP_003519430.1;WP_014522611.1;WP_014522644.1
GO:0006520	cellular amino acid metabolic process	145	10	7.06	40	0.029	0.15639	WP_003512025.1;WP_003513826.1;WP_003515736.1;WP_003516235.1;WP_003516364.1;WP_003517255.1;WP_003518251.1;WP_003518639.1;WP_003518900.1;WP_003519104.1	WP_003515960.1;WP_003517679.1;WP_003517957.1;WP_003519430.1;WP_014522611.1;WP_014522644.1
GO:0023014	signal transduction by protein phosphory...	15	3	0.73	12	0.033	0.03280	WP_003512117.1;WP_003514703.1;WP_003515791.1	WP_003515960.1;WP_003517679.1;WP_003517957.1;WP_003519430.1;WP_014522611.1;WP_014522644.1
GO:0000160	phosphorelay signal transduction system	53	6	2.58	15	0.039	0.03938	ADU73938.1;WP_003512117.1;WP_003513487.1;WP_003514703.1;WP_003515791.1;WP_003518259.1	WP_003515960.1;WP_003517679.1;WP_003517957.1;WP_003519430.1;WP_014522611.1;WP_014522644.1
GO:0033036	macromolecule localization	24	2	1.17	75	0.049	0.32779	WP_003513356.1;WP_003514910.1	WP_003515960.1;WP_003517679.1;WP_003517957.1;WP_003519430.1;WP_014522611.1;WP_014522644.1
GO:0006221	pyrimidine nucleotide biosynthetic proce...	22	5	1.07	2	0.062	0.00319	NA	NA
GO:0032984	protein-containing complex disassembly	10	2	0.49	20	0.082	0.08151	NA	NA
GO:0019692	deoxyribose phosphate metabolic process	10	2	0.49	21	0.082	0.08151	NA	NA
GO:0022402	cell cycle process	20	2	0.97	57	0.095	0.25393	NA	NA
GO:0006730	one-carbon metabolic process	11	2	0.54	24	0.097	0.09658	NA	NA
GO:0009262	deoxyribonucleotide metabolic process	11	2	0.54	25	0.097	0.09658	NA	NA
GO:0006164	purine nucleotide biosynthetic process	63	3	3.07	195	0.097	0.60373	NA	NA
GO:0051252	regulation of RNA metabolic process	97	4	4.72	250	0.098	0.71192	NA	NA
GO:0006418	tRNA aminoacylation for protein translat...	24	3	1.17	27	0.107	0.10725	NA	NA
GO:0010605	negative regulation of macromolecule met...	30	3	1.46	41	0.138	0.17587	NA	NA
GO:0045934	negative regulation of nucleobase-contai...	16	2	0.78	43	0.138	0.18084	NA	NA
GO:0009142	nucleoside triphosphate biosynthetic pro...	34	2	1.65	134	0.140	0.50072	NA	NA
GO:0006760	folic acid-containing compound metabolic...	14	2	0.68	35	0.146	0.14573	NA	NA
GO:0042398	cellular modified amino acid biosyntheti...	14	2	0.68	36	0.146	0.14573	NA	NA
GO:0018106	peptidyl-histidine phosphorylation	16	2	0.78	44	0.181	0.18084	NA	NA
GO:0051186	cofactor metabolic process	88	5	4.28	102	0.221	0.42949	NA	NA
GO:0032259	methylation	62	4	3.02	78	0.256	0.35660	NA	NA
GO:1901607	alpha-amino acid biosynthetic process	87	5	4.23	92	0.258	0.41943	NA	NA
GO:0005975	carbohydrate metabolic process	120	6	5.84	163	0.264	0.53922	NA	NA
GO:0008033	tRNA processing	31	2	1.51	106	0.296	0.45152	NA	NA
GO:0006928	movement of cell or subcellular componen...	31	2	1.51	107	0.296	0.45152	NA	NA
GO:0043604	amide biosynthetic process	144	11	7.01	19	0.301	0.07994	NA	NA
GO:0051301	cell division	41	3	2	74	0.308	0.32179	NA	NA
GO:1901137	carbohydrate derivative biosynthetic pro...	127	8	6.18	60	0.313	0.27094	NA	NA
GO:0055114	oxidation-reduction process	177	10	8.62	77	0.326	0.35558	NA	NA
GO:0031668	cellular response to extracellular stimu...	18	2	0.88	52	0.327	0.21708	NA	NA
GO:0009058	biosynthetic process	568	28	27.65	259	0.333	0.73442	NA	NA
GO:0006790	sulfur compound metabolic process	50	2	2.43	251	0.335	0.71302	NA	NA
GO:0006575	cellular modified amino acid metabolic p...	23	3	1.12	26	0.356	0.09708	NA	NA
GO:2000113	negative regulation of cellular macromol...	21	2	1.02	61	0.361	0.27244	NA	NA
GO:0006351	transcription, DNA-templated	103	4	5.01	268	0.372	0.75666	NA	NA
GO:0006412	translation	120	9	5.84	30	0.390	0.11973	NA	NA
GO:0006413	translational initiation	10	1	0.49	83	0.394	0.39407	NA	NA
GO:0019318	hexose metabolic process	10	1	0.49	84	0.394	0.39407	NA	NA
GO:0009432	SOS response	10	1	0.49	85	0.394	0.39407	NA	NA
GO:0006189	'de novo' IMP biosynthetic process	10	1	0.49	86	0.394	0.39407	NA	NA
GO:0032506	cytokinetic process	10	1	0.49	87	0.394	0.39407	NA	NA
GO:0043094	cellular metabolic compound salvage	11	1	0.54	93	0.424	0.42382	NA	NA
GO:0032269	negative regulation of cellular protein ...	11	1	0.54	94	0.424	0.42382	NA	NA
GO:0034613	cellular protein localization	11	1	0.54	95	0.424	0.42382	NA	NA
GO:0000105	histidine biosynthetic process	11	1	0.54	96	0.424	0.42382	NA	NA
GO:0044267	cellular protein metabolic process	200	14	9.74	23	0.425	0.09092	NA	NA
GO:0006810	transport	121	6	5.89	168	0.426	0.54784	NA	NA
GO:0010629	negative regulation of gene expression	24	2	1.17	76	0.450	0.32779	NA	NA
GO:0006414	translational elongation	12	1	0.58	109	0.452	0.45213	NA	NA
GO:0048583	regulation of response to stimulus	12	1	0.58	110	0.452	0.45213	NA	NA
GO:0045892	negative regulation of transcription, DN...	12	1	0.58	111	0.452	0.45213	NA	NA
GO:0030245	cellulose catabolic process	12	1	0.58	112	0.452	0.45213	NA	NA
GO:0006526	arginine biosynthetic process	12	1	0.58	113	0.452	0.45213	NA	NA
GO:0009086	methionine biosynthetic process	13	1	0.63	120	0.479	0.47907	NA	NA
