GO.ID	Term	Annotated	Significant	Expected	Rank in elimFisher	weight01Fisher	elimFisher	Protein	PUF
GO:0016818	hydrolase activity, acting on acid anhyd...	150	7	5.78	38	0.038	0.354	WP_003512494.1;WP_003515653.1;WP_003517071.1;WP_003517657.1;WP_003517948.1;WP_003518472.1;WP_003518906.1	WP_003513420.1;WP_003513913.1;WP_003515787.1;WP_003515853.1;WP_003516269.1;WP_003517995.1;WP_003519448.1;WP_003520472.1
GO:0030248	cellulose binding	22	3	0.85	1	0.049	0.049	WP_003516421.1;WP_003518401.1;WP_003518809.1	WP_003513420.1;WP_003513913.1;WP_003515787.1;WP_003515853.1;WP_003516269.1;WP_003517995.1;WP_003519448.1;WP_003520472.1
GO:0004540	ribonuclease activity	11	2	0.42	4	0.064	0.064	NA	NA
GO:0008408	3'-5' exonuclease activity	11	2	0.42	5	0.064	0.064	NA	NA
GO:0003899	DNA-directed 5'-3' RNA polymerase activi...	13	2	0.5	9	0.087	0.087	NA	NA
GO:0019842	vitamin binding	42	4	1.62	8	0.095	0.074	NA	NA
GO:0140110	transcription regulator activity	48	3	1.85	26	0.111	0.281	NA	NA
GO:0016747	transferase activity, transferring acyl ...	34	3	1.31	16	0.140	0.140	NA	NA
GO:0015405	P-P-bond-hydrolysis-driven transmembrane...	43	2	1.66	63	0.147	0.501	NA	NA
GO:0008094	DNA-dependent ATPase activity	20	2	0.77	18	0.178	0.178	NA	NA
GO:0016779	nucleotidyltransferase activity	55	5	2.12	3	0.204	0.056	NA	NA
GO:0019843	rRNA binding	41	3	1.58	19	0.207	0.207	NA	NA
GO:0043169	cation binding	284	5	10.94	134	0.207	0.993	NA	NA
GO:0003677	DNA binding	173	9	6.66	21	0.219	0.212	NA	NA
GO:0008236	serine-type peptidase activity	26	2	1	22	0.265	0.265	NA	NA
GO:0004812	aminoacyl-tRNA ligase activity	27	2	1.04	24	0.279	0.279	NA	NA
GO:0030170	pyridoxal phosphate binding	28	2	1.08	29	0.294	0.294	NA	NA
GO:0005515	protein binding	97	5	3.74	32	0.316	0.316	NA	NA
GO:0030145	manganese ion binding	10	1	0.39	33	0.326	0.326	NA	NA
GO:0098772	molecular function regulator	10	1	0.39	34	0.326	0.326	NA	NA
GO:0097367	carbohydrate derivative binding	334	13	12.87	77	0.330	0.539	NA	NA
GO:0004527	exonuclease activity	22	3	0.85	2	0.343	0.049	NA	NA
GO:0016987	sigma factor activity	11	1	0.42	35	0.352	0.352	NA	NA
GO:0046933	proton-transporting ATP synthase activit...	11	1	0.42	36	0.352	0.352	NA	NA
GO:0016627	oxidoreductase activity, acting on the C...	11	1	0.42	37	0.352	0.352	NA	NA
GO:0005198	structural molecule activity	68	3	2.62	62	0.353	0.494	NA	NA
GO:0016740	transferase activity	382	17	14.72	27	0.363	0.281	NA	NA
GO:0004536	deoxyribonuclease activity	12	1	0.46	41	0.377	0.377	NA	NA
GO:0008238	exopeptidase activity	12	1	0.46	42	0.377	0.377	NA	NA
GO:0008233	peptidase activity	66	3	2.54	58	0.402	0.473	NA	NA
GO:0017111	nucleoside-triphosphatase activity	139	6	5.35	46	0.424	0.450	NA	NA
GO:0050661	NADP binding	15	1	0.58	45	0.447	0.447	NA	NA
GO:0005524	ATP binding	266	11	10.25	47	0.451	0.451	NA	NA
GO:0016903	oxidoreductase activity, acting on the a...	16	1	0.62	54	0.469	0.469	NA	NA
GO:1901681	sulfur compound binding	16	1	0.62	55	0.469	0.469	NA	NA
GO:0003824	catalytic activity	997	37	38.41	110	0.470	0.755	NA	NA
GO:0016788	hydrolase activity, acting on ester bond...	86	6	3.31	13	0.472	0.107	NA	NA
GO:0097159	organic cyclic compound binding	629	25	24.23	52	0.486	0.469	NA	NA
GO:1901363	heterocyclic compound binding	629	25	24.23	53	0.486	0.469	NA	NA
GO:0016763	transferase activity, transferring pento...	17	1	0.65	61	0.489	0.489	NA	NA
GO:0016811	hydrolase activity, acting on carbon-nit...	18	1	0.69	64	0.509	0.509	NA	NA
GO:0003700	DNA-binding transcription factor activit...	45	2	1.73	70	0.525	0.525	NA	NA
GO:0004673	protein histidine kinase activity	19	1	0.73	72	0.528	0.528	NA	NA
GO:0042578	phosphoric ester hydrolase activity	19	1	0.73	73	0.528	0.528	NA	NA
GO:0030246	carbohydrate binding	46	4	1.77	12	0.549	0.097	NA	NA
GO:0032550	purine ribonucleoside binding	56	2	2.16	92	0.550	0.647	NA	NA
GO:0043565	sequence-specific DNA binding	21	1	0.81	81	0.565	0.565	NA	NA
GO:0000049	tRNA binding	21	1	0.81	82	0.565	0.565	NA	NA
GO:0016773	phosphotransferase activity, alcohol gro...	51	2	1.96	86	0.566	0.595	NA	NA
GO:0008483	transaminase activity	22	1	0.85	83	0.582	0.582	NA	NA
GO:0003676	nucleic acid binding	308	14	11.86	28	0.594	0.283	NA	NA
GO:0140101	catalytic activity, acting on a tRNA	51	3	1.96	31	0.606	0.313	NA	NA
GO:0060089	molecular transducer activity	24	1	0.92	87	0.614	0.614	NA	NA
GO:0003924	GTPase activity	24	1	0.92	88	0.614	0.614	NA	NA
GO:0016765	transferase activity, transferring alkyl...	25	1	0.96	91	0.629	0.629	NA	NA
GO:0003735	structural constituent of ribosome	57	2	2.2	94	0.657	0.657	NA	NA
GO:0016835	carbon-oxygen lyase activity	27	1	1.04	96	0.658	0.658	NA	NA
GO:0016301	kinase activity	87	3	3.35	97	0.659	0.665	NA	NA
GO:0043168	anion binding	385	16	14.83	44	0.682	0.409	NA	NA
GO:0004519	endonuclease activity	30	1	1.16	103	0.697	0.697	NA	NA
GO:0140096	catalytic activity, acting on a protein	127	5	4.89	79	0.718	0.552	NA	NA
GO:0016887	ATPase activity	101	4	3.89	80	0.749	0.556	NA	NA
GO:0005525	GTP binding	36	1	1.39	111	0.762	0.762	NA	NA
GO:0004175	endopeptidase activity	36	1	1.39	112	0.762	0.762	NA	NA
GO:0016829	lyase activity	97	3	3.74	109	0.766	0.738	NA	NA
GO:0048037	cofactor binding	173	6	6.66	101	0.809	0.676	NA	NA
GO:0016879	ligase activity, forming carbon-nitrogen...	42	1	1.62	120	0.813	0.813	NA	NA
GO:0140097	catalytic activity, acting on DNA	57	2	2.2	95	0.831	0.657	NA	NA
GO:0004553	hydrolase activity, hydrolyzing O-glycos...	45	1	1.73	122	0.835	0.835	NA	NA
GO:0008270	zinc ion binding	50	1	1.93	126	0.865	0.865	NA	NA
GO:0050662	coenzyme binding	96	4	3.7	67	0.873	0.514	NA	NA
GO:0016853	isomerase activity	56	1	2.16	129	0.895	0.895	NA	NA
GO:0000287	magnesium ion binding	61	1	2.35	130	0.914	0.914	NA	NA
GO:0003723	RNA binding	119	4	4.58	102	0.921	0.689	NA	NA
GO:0008168	methyltransferase activity	64	1	2.47	131	0.924	0.924	NA	NA
GO:0016491	oxidoreductase activity	160	4	6.16	127	0.970	0.885	NA	NA
GO:0046872	metal ion binding	279	4	10.75	135	0.986	0.998	NA	NA
GO:0003674	molecular_function	1272	49	49	136	1.000	1.000	NA	NA
GO:0019001	guanyl nucleotide binding	49	1	1.89	124	1.000	0.860	NA	NA
GO:0016462	pyrophosphatase activity	149	6	5.74	68	1.000	0.522	NA	NA
GO:0043492	ATPase activity, coupled to movement of ...	39	1	1.5	114	1.000	0.789	NA	NA
GO:0016772	transferase activity, transferring phosp...	143	8	5.51	17	1.000	0.176	NA	NA
GO:0016775	phosphotransferase activity, nitrogenous...	22	1	0.85	84	1.000	0.582	NA	NA
GO:0032549	ribonucleoside binding	59	2	2.27	99	1.000	0.676	NA	NA
GO:0000166	nucleotide binding	372	13	14.33	106	1.000	0.716	NA	NA
GO:0015399	primary active transmembrane transporter...	45	2	1.73	71	1.000	0.525	NA	NA
GO:0022853	active ion transmembrane transporter act...	19	1	0.73	74	1.000	0.528	NA	NA
GO:0032561	guanyl ribonucleotide binding	49	1	1.89	125	1.000	0.860	NA	NA
GO:0022857	transmembrane transporter activity	70	2	2.7	113	1.000	0.765	NA	NA
GO:0015318	inorganic molecular entity transmembrane...	39	1	1.5	115	1.000	0.789	NA	NA
GO:0030554	adenyl nucleotide binding	269	11	10.36	51	1.000	0.468	NA	NA
GO:0016798	hydrolase activity, acting on glycosyl b...	55	1	2.12	128	1.000	0.890	NA	NA
GO:0140098	catalytic activity, acting on RNA	90	6	3.47	14	1.000	0.126	NA	NA
GO:0016874	ligase activity	88	3	3.39	98	1.000	0.673	NA	NA
GO:0016875	ligase activity, forming carbon-oxygen b...	27	2	1.04	25	1.000	0.279	NA	NA
GO:0004672	protein kinase activity	30	1	1.16	104	1.000	0.697	NA	NA
GO:0015075	ion transmembrane transporter activity	40	1	1.54	118	1.000	0.797	NA	NA
GO:0015077	monovalent inorganic cation transmembran...	19	1	0.73	75	1.000	0.528	NA	NA
GO:0030247	polysaccharide binding	25	3	0.96	6	1.000	0.068	NA	NA
GO:0015078	proton transmembrane transporter activit...	16	1	0.62	56	1.000	0.469	NA	NA
