GO.ID	Term	Annotated	Significant	Expected	Rank in elimFisher	weight01Fisher	elimFisher	Protein	PUF
GO:0006310	DNA recombination	31	6	1.43	1	0.0022	0.0022	ADU74168.1;ADU74708.1;WP_003513683.1;WP_003519257.1;WP_011838186.1;WP_095522195.1	WP_003512244.1;WP_003513758.1;WP_003514722.1;WP_003514797.1;WP_003517802.1
GO:0006464	cellular protein modification process	69	7	3.18	8	0.0300	0.0348	WP_003511596.1;WP_003511707.1;WP_003512910.1;WP_003513389.1;WP_003517107.1;WP_003518458.1;WP_003520820.1	WP_003512244.1;WP_003513758.1;WP_003514722.1;WP_003514797.1;WP_003517802.1
GO:0071806	protein transmembrane transport	11	2	0.51	19	0.0879	0.0879	NA	NA
GO:0090305	nucleic acid phosphodiester bond hydroly...	54	5	2.49	20	0.0979	0.0979	NA	NA
GO:0071897	DNA biosynthetic process	12	2	0.55	21	0.1025	0.1025	NA	NA
GO:0009306	protein secretion	12	2	0.55	22	0.1025	0.1025	NA	NA
GO:0030245	cellulose catabolic process	12	2	0.55	23	0.1025	0.1025	NA	NA
GO:0000272	polysaccharide catabolic process	40	5	1.84	7	0.1170	0.0332	NA	NA
GO:0000902	cell morphogenesis	19	3	0.88	12	0.1292	0.0532	NA	NA
GO:0022603	regulation of anatomical structure morph...	19	3	0.88	13	0.1292	0.0532	NA	NA
GO:0006417	regulation of translation	14	2	0.65	30	0.1333	0.1333	NA	NA
GO:0009082	branched-chain amino acid biosynthetic p...	14	2	0.65	31	0.1333	0.1333	NA	NA
GO:0006261	DNA-dependent DNA replication	15	2	0.69	36	0.1495	0.1495	NA	NA
GO:0008360	regulation of cell shape	16	2	0.74	41	0.1660	0.1660	NA	NA
GO:0006281	DNA repair	47	4	2.17	43	0.1668	0.1668	NA	NA
GO:0000270	peptidoglycan metabolic process	22	3	1.01	16	0.1688	0.0768	NA	NA
GO:0034645	cellular macromolecule biosynthetic proc...	280	15	12.91	69	0.1766	0.2956	NA	NA
GO:0009252	peptidoglycan biosynthetic process	18	2	0.83	50	0.1999	0.1999	NA	NA
GO:0048869	cellular developmental process	25	4	1.15	4	0.2384	0.0248	NA	NA
GO:0043648	dicarboxylic acid metabolic process	29	2	1.34	88	0.2474	0.3904	NA	NA
GO:0071555	cell wall organization	21	2	0.97	56	0.2520	0.2520	NA	NA
GO:0005975	carbohydrate metabolic process	120	8	5.53	44	0.2779	0.1797	NA	NA
GO:0009057	macromolecule catabolic process	59	7	2.72	2	0.2964	0.0158	NA	NA
GO:1901566	organonitrogen compound biosynthetic pro...	353	15	16.28	184	0.2977	0.7006	NA	NA
GO:0006259	DNA metabolic process	88	10	4.06	54	0.3162	0.2149	NA	NA
GO:0050794	regulation of cellular process	213	10	9.82	136	0.3182	0.5324	NA	NA
GO:0019438	aromatic compound biosynthetic process	320	9	14.76	270	0.3538	0.9792	NA	NA
GO:0018193	peptidyl-amino acid modification	27	2	1.25	76	0.3565	0.3565	NA	NA
GO:0098655	cation transmembrane transport	28	2	1.29	82	0.3735	0.3735	NA	NA
GO:0006605	protein targeting	10	1	0.46	83	0.3775	0.3775	NA	NA
GO:0044780	bacterial-type flagellum assembly	10	1	0.46	84	0.3775	0.3775	NA	NA
GO:1990748	cellular detoxification	10	1	0.46	85	0.3775	0.3775	NA	NA
