OperonID	GI	Synonym	Start	End	Strand	Length	COG_number	Product
1252851	385777390	Clo1313_0004	3133	4242	+	369	-	DNA replication and repair protein RecF
1252851	385777389	Clo1313_0003	2909	3115	+	68	-	S4 domain-containing protein YaaA
1252851	385777388	Clo1313_0002	1793	2893	+	366	-	DNA polymerase III subunit beta
1252852	385777394	Clo1313_0008	8458	9327	+	289	-	parB-like partition protein
1252852	385777393	Clo1313_0007	7685	8461	+	258	-	cobyrinic acid ac-diamide synthase
1252853	385777396	Clo1313_0010	10419	11159	+	246	-	hypothetical protein
1252853	385777395	Clo1313_0009	9889	10398	+	169	-	hypothetical protein
1252854	385777409	Clo1313_0023	24124	25059	+	311	-	thiamine pyrophosphate TPP-binding domain-containing protein
1252854	385777408	Clo1313_0022	22927	24111	+	394	-	pyruvate flavodoxin/ferredoxin oxidoreductase domain-containing protein
1252854	385777407	Clo1313_0021	22605	22910	+	101	-	pyruvate ferredoxin/flavodoxin oxidoreductase subunit delta
1252854	385777406	Clo1313_0020	22030	22608	+	192	-	pyruvate/ketoisovalerate oxidoreductase subunit gamma
1252855	385777426	Clo1313_0040	41153	41959	+	268	-	hypothetical protein
1252855	385777425	Clo1313_0039	40359	41087	+	242	-	PspA/IM30 family protein
1252856	385777429	Clo1313_0043	45034	47685	+	883	-	SMC domain-containing protein
1252856	385777428	Clo1313_0042	43827	44972	+	381	-	metallophosphoesterase
1252857	385777432	Clo1313_0047	50866	52260	+	464	-	germination protein YpeB
1252857	385777431	Clo1313_0046	50121	50822	+	233	-	spore cortex-lytic protein
1252858	385777442	Clo1313_0057	64930	65730	+	266	-	OmpA/MotB domain-containing protein
1252858	385777441	Clo1313_0056	64077	64916	+	279	-	MotA/TolQ/ExbB proton channel
1252859	385777444	Clo1313_0059	66965	67873	+	302	-	protein-(glutamine-N5) methyltransferase
1252859	385777443	Clo1313_0058	65996	66952	+	318	-	hypothetical protein
1252860	385777451	Clo1313_0066	73701	74504	+	267	-	RnfABCDGE type electron transport complex subunit B
1252860	385777450	Clo1313_0065	73075	73662	+	195	-	RnfABCDGE type electron transport complex subunit A
1252860	385777449	Clo1313_0064	72413	73069	+	218	-	RnfABCDGE type electron transport complex subunit E
1252860	385777448	Clo1313_0063	71817	72410	+	197	-	RnfABCDGE type electron transport complex subunit G
1252860	385777447	Clo1313_0062	70868	71833	+	321	-	RnfABCDGE type electron transport complex subunit D
1252860	385777446	Clo1313_0061	69547	70866	+	439	-	RnfABCDGE type electron transport complex subunit C
1252861	385777460	Clo1313_0076	81603	82646	+	347	-	alcohol dehydrogenase GroES domain-containing protein
1252861	385777459	Clo1313_0075	80581	81522	+	313	-	transketolase
1252861	385777458	Clo1313_0074	79748	80584	+	278	-	transketolase
1252861	385777457	Clo1313_0073	78258	79742	+	494	-	Carbohydrate kinase, FGGY-like protein
1252862	385777464	Clo1313_0080	86440	87054	+	204	-	phosphoglycerate mutase
1252862	385777463	Clo1313_0079	85455	86438	+	327	-	inner-membrane translocator
1252862	385777462	Clo1313_0078	83949	85436	+	495	-	ABC transporter
1252862	385777461	Clo1313_0077	82829	83947	+	372	-	hypothetical protein
1252863	385777467	Clo1313_0083	93126	93482	-	118	-	MazG nucleotide pyrophosphohydrolase
1252863	385777466	Clo1313_0082	91265	93073	-	602	-	oligoendopeptidase F
1252864	385777472	Clo1313_0089	100258	101286	-	342	-	LacI family transcriptional regulator
1252864	385777471	Clo1313_0088	98924	100213	-	429	-	hypothetical protein
1252865	385777486	Clo1313_0103	118384	118641	+	85	-	hypothetical protein
1252865	385777485	Clo1313_0102	116764	118344	+	526	-	2-isopropylmalate synthase
1252865	385777484	Clo1313_0101	115686	116681	+	331	-	ketol-acid reductoisomerase
1252865	385777483	Clo1313_0100	115166	115678	+	170	-	acetolactate synthase small subunit
1252865	385777482	Clo1313_0099	113506	115134	+	542	-	acetolactate synthase large subunit
1252866	385777488	Clo1313_0105	119544	121166	+	540	-	hypothetical protein
1252866	385777487	Clo1313_0104	118837	119544	+	235	-	RNA polymerase, sigma 28 subunit, SigI
1252867	385777494	Clo1313_0111	125001	126482	+	493	-	uroporphyrin-III C-methyltransferase
1252867	385777493	Clo1313_0110	124123	125001	+	292	-	porphobilinogen deaminase
1252867	385777492	Clo1313_0109	123675	124148	+	157	-	siroheme synthase
1252867	385777491	Clo1313_0108	122683	123678	+	331	-	glutamyl-tRNA reductase
1252868	385777496	Clo1313_0113	127731	129014	+	427	-	glutamate-1-semialdehyde-2,1-aminomutase
1252868	385777495	Clo1313_0112	126751	127731	+	326	-	porphobilinogen synthase
1252869	385777501	Clo1313_0118	133412	134131	+	239	-	adenylylsulfate reductase
1252869	385777500	Clo1313_0117	132280	133344	+	354	-	sulfate ABC transporter ATPase
1252869	385777499	Clo1313_0116	131353	132237	+	294	-	sulfate ABC transporter permease
1252869	385777498	Clo1313_0115	130418	131266	+	282	-	sulfate ABC transporter permease
1252869	385777497	Clo1313_0114	129323	130393	+	356	-	sulfate ABC transporter substrate-binding protein
1252870	385777508	Clo1313_0125	139492	139737	+	81	-	SirA-like domain-containing protein
1252870	385777507	Clo1313_0124	138582	139454	+	290	-	nitrite and sulfite reductase 4Fe-4S region
1252870	385777506	Clo1313_0123	138162	138581	+	139	-	Mov34/MPN/PAD-1 family protein
1252870	385777505	Clo1313_0122	137326	138138	+	270	-	UBA/THIF-type NAD/FAD binding protein
1252870	385777504	Clo1313_0121	137120	137329	+	69	-	thiamine biosynthesis protein ThiS
1252870	385777503	Clo1313_0120	135302	137101	+	599	-	sulfate adenylyltransferase, large subunit
1252870	385777502	Clo1313_0119	134419	135300	+	293	-	phosphoadenosine phosphosulfate reductase
1252871	385777510	Clo1313_0127	141211	141792	-	193	-	ECF subfamily RNA polymerase sigma-24 subunit
1252871	385777509	Clo1313_0126	139811	141208	-	465	-	Lipoprotein LpqB, GerMN domain
1252872	385777512	Clo1313_0129	142712	143200	-	162	-	hypothetical protein
1252872	385777511	Clo1313_0128	142114	142677	-	187	-	hypothetical protein
1252873	385777514	Clo1313_0132	144385	144711	+	108	-	hypothetical protein
1252873	385777513	Clo1313_0131	144172	144354	+	60	-	hypothetical protein
1252874	385777517	Clo1313_0135	146817	147791	+	324	-	Dockerin type 1
1252874	385777516	Clo1313_0134	146526	146702	+	58	-	hypothetical protein
1252874	385777515	Clo1313_0133	144910	146421	+	503	-	alpha-L-arabinofuranosidase domain-containing protein
1252875	385777523	Clo1313_0141	153417	154568	-	383	-	FkbM family methyltransferase
1252875	385777522	Clo1313_0140	152146	153399	-	417	-	group 1 glycosyl transferase
1252875	385777521	Clo1313_0139	151137	152162	-	341	-	radical SAM protein
1252875	385777520	Clo1313_0138	150081	151103	-	340	-	radical SAM protein
1252875	385777519	Clo1313_0137	149050	150084	-	344	-	radical SAM protein
1252875	385777518	Clo1313_0136	148028	149011	-	327	-	glycosyltransferase family protein
1252876	385777526	Clo1313_0144	157339	158256	-	305	-	NAD-dependent epimerase/dehydratase
1252876	385777525	Clo1313_0143	155793	157292	-	499	-	family 2 glycosyl transferase
1252877	385777530	Clo1313_0148	161925	162704	-	259	-	glucose-1-phosphate cytidylyltransferase
1252877	385777529	Clo1313_0147	160710	161849	-	379	-	CDP-glucose 4,6-dehydratase
1252878	385777543	Clo1313_0162	177720	178730	+	336	-	hypothetical protein
1252878	385777542	Clo1313_0161	176861	177673	+	270	-	binding-protein-dependent transport system inner membrane protein
1252878	385777541	Clo1313_0160	176101	176868	+	255	-	ABC transporter
1252879	385777551	Clo1313_0170	186013	186528	+	171	-	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
1252879	385777550	Clo1313_0169	185646	186023	+	125	-	dihydroneopterin aldolase
1252879	385777549	Clo1313_0168	184437	185618	+	393	-	dihydropteroate synthase
1252879	385777548	Clo1313_0167	183912	184397	+	161	-	phosphodiesterase
1252879	385777547	Clo1313_0166	182794	183900	+	368	-	iron-containing alcohol dehydrogenase
1252880	385777553	Clo1313_0172	187227	188243	+	338	-	biotin--acetyl-CoA-carboxylase ligase
1252880	385777552	Clo1313_0171	186597	187223	+	208	-	hypothetical protein
1252881	385777556	Clo1313_0175	189735	190502	+	255	-	Baf family transcriptional activator
1252881	385777555	Clo1313_0174	189216	189713	+	165	-	hypothetical protein
1252882	385777562	Clo1313_0181	196692	197432	+	246	-	zinc/iron permease
1252882	385777561	Clo1313_0180	195543	196625	+	360	-	peptide chain release factor 1
1252883	385777564	Clo1313_0183	198688	199167	+	159	-	protein tyrosine phosphatase
1252883	385777563	Clo1313_0182	197566	198621	+	351	-	Sua5/YciO/YrdC/YwlC family protein
1252884	385777569	Clo1313_0188	202084	203238	+	384	-	UDP-N-acetylglucosamine 2-epimerase
1252884	385777568	Clo1313_0187	200934	202064	+	376	-	glycosyl transferase family protein
1252884	385777567	Clo1313_0186	200391	200852	+	153	-	CMP/dCMP deaminase zinc-binding protein
