# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	212	1543	+							Clo1313_0001	1332		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	212	1543	+	ADU73101.1			chromosomal replication initiator protein DnaA			Clo1313_0001	1332	443	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	1793	2893	+							Clo1313_0002	1101		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	1793	2893	+	ADU73102.1			DNA polymerase III, beta subunit			Clo1313_0002	1101	366	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	2909	3115	+							Clo1313_0003	207		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	2909	3115	+	ADU73103.1			S4 domain protein YaaA			Clo1313_0003	207	68	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	3133	4242	+							Clo1313_0004	1110		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	3133	4242	+	ADU73104.1			DNA replication and repair protein RecF			Clo1313_0004	1110	369	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	4410	4724	+							Clo1313_0005	315		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	4410	4724	+	ADU73105.1			hypothetical protein			Clo1313_0005	315	104	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	4773	6698	+							Clo1313_0006	1926		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	4773	6698	+	ADU73106.1			DNA gyrase, B subunit			Clo1313_0006	1926	641	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	7685	8461	+							Clo1313_0007	777		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	7685	8461	+	ADU73107.1			cobyrinic acid ac-diamide synthase			Clo1313_0007	777	258	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	8458	9327	+							Clo1313_0008	870		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	8458	9327	+	ADU73108.1			parB-like partition protein			Clo1313_0008	870	289	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	9889	10398	+							Clo1313_0009	510		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	9889	10398	+	ADU73109.1			hypothetical protein			Clo1313_0009	510	169	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	10419	11159	+							Clo1313_0010	741		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	10419	11159	+	ADU73110.1			TPR repeat-containing protein			Clo1313_0010	741	246	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	11323	12594	+							Clo1313_0011	1272		
