# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	212	1543	+							CLO1313_RS00010	1332		old_locus_tag=Clo1313_0001
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	212	1543	+	WP_003516465.1	WP_003516465.1		chromosomal replication initiator protein DnaA			CLO1313_RS00010	1332	443	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	1793	2893	+							CLO1313_RS00015	1101		old_locus_tag=Clo1313_0002
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	1793	2893	+	WP_003513339.1	WP_003513339.1		DNA polymerase III subunit beta			CLO1313_RS00015	1101	366	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	2909	3115	+							CLO1313_RS00020	207		old_locus_tag=Clo1313_0003
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	2909	3115	+	WP_003513337.1	WP_003513337.1		S4 domain-containing protein YaaA			CLO1313_RS00020	207	68	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	3133	4242	+							CLO1313_RS00025	1110		old_locus_tag=Clo1313_0004
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	3133	4242	+	WP_003513335.1	WP_003513335.1		DNA replication and repair protein RecF			CLO1313_RS00025	1110	369	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	4410	4724	+							CLO1313_RS00030	315		old_locus_tag=Clo1313_0005
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	4410	4724	+	WP_003513333.1	WP_003513333.1		DUF370 domain-containing protein			CLO1313_RS00030	315	104	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	4773	6698	+					gyrB		CLO1313_RS00035	1926		old_locus_tag=Clo1313_0006
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	4773	6698	+	WP_003513331.1	WP_003513331.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		CLO1313_RS00035	1926	641	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	7685	8461	+							CLO1313_RS00040	777		old_locus_tag=Clo1313_0007
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	7685	8461	+	WP_003513308.1	WP_003513308.1		ParA family protein			CLO1313_RS00040	777	258	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	8458	9327	+							CLO1313_RS00045	870		old_locus_tag=Clo1313_0008
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	8458	9327	+	WP_003513306.1	WP_003513306.1		chromosome partitioning protein ParB			CLO1313_RS00045	870	289	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	9889	10398	+							CLO1313_RS00050	510		old_locus_tag=Clo1313_0009
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	9889	10398	+	WP_003513304.1	WP_003513304.1		DUF4446 domain-containing protein			CLO1313_RS00050	510	169	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	10419	11159	+							CLO1313_RS00055	741		old_locus_tag=Clo1313_0010
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	10419	11159	+	WP_003513303.1	WP_003513303.1		hypothetical protein			CLO1313_RS00055	741	246	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	11323	12594	+							CLO1313_RS00060	1272		old_locus_tag=Clo1313_0011
