Protein	Pannzer
WP_003514587.1	10 kDa chaperonin(0.522542410713)
WP_003512585.1	Flavin reductase domain protein FMN-binding(0.461140418099)
WP_003516661.1	ADP-ribose pyrophosphatase NudF(0.496800802996)
WP_003518177.1	Cellobiose phosphorylase(0.508347999195)
WP_003513624.1	Transporter, CorA metal ion transporter family(0.533833453269)
WP_003517292.1	Exonuclease SbcC(0.294978956139)
WP_003517270.1	Pseudouridine synthase(0.445963911957)
WP_003514581.1	Imidazole glycerol phosphate synthase subunit HisF(0.519714793824)
WP_003516667.1	Phosphopentomutase(0.746552698645)
WP_003518917.1	ATP-dependent sacrificial sulfur transferase LarE(0.657956169873)
WP_003521330.1	Cysteine synthase cysk(0.496186391974)
WP_003512006.1	Transposase DDE domain(0.363531479925)
WP_003511724.1	Ca2+/Na+ antiporter(0.731253523751)
WP_003517276.1	Polyphenol oxidase(0.61623274074)
WP_003519118.1	Methyl-accepting chemotaxis sensory transducer(0.264175401174)
WP_003514583.1	Predicted transcriptional regulator, contains HTH domain(0.501372187408)
WP_003516241.1	Tyrosine--tRNA ligase(0.631909366474)
WP_003515705.1	Nucleotidyltransferase(0.460659811257)
WP_003517274.1	ABC-type dipeptide transport system, periplasmic component(0.284948499248)
WP_003516640.1	3D (Asp-Asp-Asp) domain-containing protein(0.526879435865)
WP_003519009.1	Putative oxidoreductases of the aldo/keto reductase family(0.613669779315)
WP_003513604.1	HAD-IIIC family phosphatase(0.624324515567)
WP_003516098.1	AI-2E family transporter [Ruminiclostridium thermocellum](0.293349617899)
WP_003517278.1	Beta-xylanase(0.421898195767)
ADU73753.1	Pyruvate-flavodoxin oxidoreductase(0.496369967359)
WP_003512581.1	Phosphoglycerate transport system sensor protein PgtB(0.341548351632)
WP_003513261.1	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase(0.65265097208)
WP_004463784.1	Threonine synthase ThrC(0.540685162949)
WP_003519460.1	Branched-chain amino acid ABC transporter permease(0.3846040533)
WP_003517255.1	Aspartate 1-decarboxylase(0.646628036147)
WP_003514168.1	NUDIX hydrolase [Ruminiclostridium thermocellum](0.436004421666)
WP_003518187.1	ATP-dependent helicase/deoxyribonuclease subunit B(0.488803566319)
WP_049776348.1	PepSY domain-containing protein(0.70169018717)
WP_003512956.1	ATP synthase epsilon chain(0.526794989878)
WP_003519336.1	Anhydromuramoyl-peptide exo-beta-N-acetylglucosaminidase(0.381910997411)
WP_003512873.1	Manganese-dependent protein-tyrosine phosphatase(0.320083437461)
WP_003512577.1	DRTGG domain-containing protein(0.761668268561)
WP_003519665.1	Two component system sensor histidine kinase CiaH(0.330359685296)
WP_003519922.1	RsgI N-terminal anti-sigma domain-containing protein(0.590751648404)
WP_003512950.1	Ferrous iron transporter A(0.369686322684)
WP_003512871.1	Stage V sporulation protein T(0.770006990374)
WP_003513240.1	Spore germination protein YpeB(0.791360710414)
WP_003521254.1	DNA translocase SpoIIIE(0.536759123552)
WP_003517223.1	Type IV pilus assembly PilZ(0.40179175081)
WP_003511947.1	Hcp transcriptional regulator HcpR(0.394510549348)
WP_003512952.1	Ferrous iron transporter A(0.534222119382)
WP_003517648.1	Peptidase membrane zinc metallopeptidase(0.561239004346)
WP_003520768.1	zf-HC2 domain-containing protein(0.254481590564)
WP_003519188.1	Anti-sigma factor yrhM(0.760211296191)
WP_003518938.1	8-amino-7-ketopelargonate synthase(0.582573150692)
WP_003514478.1	Periplasmic binding protein/LacI transcriptional regulator(0.267567029741)
WP_003512707.1	Radical SAM(0.420635497065)
WP_003520978.1	Stage II sporulation protein M(0.604127083944)
WP_003516055.1	CRISPR-associated endoribonuclease Cas2(0.700180428625)
WP_003516835.1	Right-handed parallel beta-helix repeat-containing protein (Fragment)(0.487224237512)
WP_003512264.1	AMIN domain-containing protein [Ruminiclostridium thermocellum](0.336628325103)
WP_003518706.1	Transcriptional activator protein CzcR(0.310290200183)
WP_003512565.1	Peptide chain release factor 3(0.55686208166)
WP_003515445.1	Ribose-phosphate pyrophosphokinase(0.637226325637)
WP_003519462.1	Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase(0.348238173303)
WP_003514874.1	NiFe hydrogenase metallocenter assembly protein HypC(0.550692851004)
ADU74051.1	Vacuolar-type H+-ATPase subunit H(0.67912032455)
WP_003513987.1	Cell division protein FtsK(0.357605316303)
WP_003515461.1	Uracil phosphoribosyltransferase(0.582319267988)
WP_003512267.1	Ribonuclease PH(0.594969436669)
WP_003515443.1	Transcription-repair-coupling factor(0.610946433721)
WP_003514876.1	NiFe hydrogenase metallocenter assembly protein HypD(0.650457213243)
WP_003517674.1	C4-dicarboxylate transport sensor protein DctB(0.291786317197)
WP_003512174.1	Triosephosphate isomerase(0.541824951798)
WP_003512875.1	Tyrosine-protein kinase CpsD(0.544975147887)
WP_003516588.1	No significant homology(0.401058443443)
WP_003515441.1	AraC family transcriptional regulator [Ruminiclostridium thermocellum](0.264319272076)
WP_003512571.1	Transcriptional regulator(0.343175815522)
WP_003516977.1	cupin domain-containing protein [Ruminiclostridium thermocellum](0.482568939246)
WP_003518165.1	Type IV pilus twitching motility protein PilT(0.490089722285)
WP_003512269.1	Xyloglucanase Xgh74A(0.441397085526)
WP_003518163.1	HTH-type transcriptional regulator AscG(0.346371402404)
WP_003512797.1	N-acetylgalactosamine-N, N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase(0.37930091501)
WP_003512275.1	Glutamine amidotransferase class-II(0.548668910018)
WP_003518702.1	Ribosomal large subunit pseudouridine synthase D(0.410720190177)
WP_003518681.1	Putative multidrug export ATP-binding/permease protein SAV1866(0.35798123374)
WP_014522636.1	Flavin reductase like domain(0.508689118915)
WP_003515071.1	Rubredoxin(0.72187203542)
WP_003517341.1	Basic membrane protein A(0.460446409132)
WP_003512563.1	Beta-propeller domain-containing protein, methanol dehydrogenase(0.38816150348)
ADU73817.1	ATP-dependent RecD-like DNA helicase(0.671353837837)
WP_003512799.1	Maltose O-acetyltransferase(0.413921050489)
WP_003518046.1	Ribonuclease, Rne/Rng family(0.527330777322)
WP_003512783.1	Ribbon-helix-helix(0.565108418484)
WP_003519286.1	Topoisomerase IV(0.571984814088)
WP_003515452.1	Stage II sporulation protein D Stage II sporulation protein C(0.535878571529)
WP_003513828.1	Ornithine carbamoyltransferase(0.52987302671)
WP_003518339.1	radical SAM protein [Ruminiclostridium thermocellum](0.353551806185)
ADU74726.1	Methionyl-tRNA formyltransferase(0.619596969777)
WP_003514291.1	Recombination protein RecR(0.541249222728)
WP_003516238.1	Nitrogen fixation protein NifU(0.475189088292)
WP_003512787.1	Bifunctional NAD(P)H-hydrate repair enzyme(0.580478025646)
WP_003512898.1	N-acetylneuraminate synthase(0.749671494926)
WP_003514293.1	DNA polymerase III subunit gamma/tau(0.50960061231)
WP_003512610.1	CoA protein activase(0.792976146251)
WP_003516866.1	Glucosyl hydrolase family protein(0.62974306385)
WP_003517644.1	DUF116 domain-containing protein [Ruminiclostridium thermocellum](0.796582118666)
WP_003517370.1	FtsX domain-containing protein(0.282788059211)
WP_003519238.1	L-cystine transport system permease protein tcyB(0.470824253877)
WP_003517359.1	NifB-domain protein(0.582164713535)
WP_003512246.1	Metal-dependent phosphohydrolase, HD region(0.704753422884)
WP_003517251.1	HD-GYP domain-containing protein [Ruminiclostridium thermocellum](0.292989477096)
WP_003513339.1	Beta sliding clamp(0.524466407035)
WP_003513857.1	Copper amine oxidase-like domain-containing protein(0.607126490158)
WP_003511548.1	VWFA domain-containing protein(0.390775325491)
WP_003517713.1	FtsX domain-containing protein(0.320473019638)
WP_003517008.1	YicC-like domain-containing protein(0.786213045892)
WP_003512248.1	Argininosuccinate lyase(0.544298522241)
WP_003515656.1	murein biosynthesis integral membrane protein MurJ [Ruminiclostridium thermocellum](0.438520335826)
WP_003518554.1	Ribosomal protein L22, bacterial-type(0.50119373494)
WP_003514709.1	Cysteine-rich secretory protein family protein(0.385024348818)
ADU74165.1	Arsenite resistance protein ArsB(0.525843433677)
WP_003516257.1	Shikimate kinase i(0.508783758965)
WP_003520554.1	HD-GYP domain-containing protein (C-di-GMP phosphodiesterase class II)(0.361848917804)
WP_003518736.1	coagulation factor 5/8 type domain protein [Ruminiclostridium thermocellum](0.590330524228)
WP_003520409.1	penicillin-binding protein 2 [Ruminiclostridium thermocellum](0.420196298793)
WP_003511668.1	von Willebrand factor type A(0.296967528684)
WP_003514760.1	cAMP-activated global transcriptional regulator CRP(0.406598050208)
WP_003513333.1	DUF370 domain-containing protein [Ruminiclostridium thermocellum](0.792231171349)
WP_080514932.1	APH domain-containing protein(0.411557890411)
WP_003514705.1	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase(0.720147139801)
WP_003512486.1	ThrE domain-containing protein(0.398732039195)
WP_003517216.1	Putative inner membrane transporter yiJE(0.317197472217)
WP_003513331.1	DNA gyrase subunit B(0.516809964938)
WP_003514703.1	Sporulation kinase A(0.288837334585)
WP_003515554.1	1-deoxy-D-xylulose 5-phosphate reductoisomerase(0.657065372677)
WP_003513861.1	Mobile element protein(0.305073807542)
WP_003516177.1	Agmatinase(0.681059165084)
WP_003516915.1	Carbamoyltransferase HypF(0.68789020205)
WP_003515979.1	Glyoxylase, beta-lactamase superfamily II(0.35623758178)
ADU73504.1	Phosphoenolpyruvate carboxykinase [GTP](0.666571181959)
WP_003517739.1	GCN5-related N-acetyltransferase(0.253273317835)
WP_003513337.1	S4 domain-containing protein YaaA(0.510828599501)
WP_003513683.1	Single-stranded DNA-binding protein(0.404061397759)
WP_003516175.1	Polyamine aminopropyltransferase(0.617748412638)
WP_003518455.1	Purine-binding chemotaxis protein CheW(0.533129644116)
WP_003516372.1	Integral membrane protein YggT(0.7416368973)
WP_003513449.1	hemerythrin [Ruminiclostridium thermocellum](0.694362138984)
WP_003515915.1	Glutamate 5-kinase(0.659686654802)
WP_003516163.1	Tryptophan--tRNA ligase(0.608396097384)
WP_003517512.1	DNA-(Apurinic or apyrimidinic site) lyase /endonuclease III(0.537922040059)
WP_003515542.1	Putative ribosomal protein YlxQ(0.667478652533)
WP_003512482.1	MATE type Na+-driven multidrug efflux pump(0.392454115977)
WP_003516880.1	copper amine oxidase [Ruminiclostridium thermocellum](0.372745169319)
WP_003513222.1	Motility protein A(0.575691603065)
WP_003518738.1	copper amine oxidase [Ruminiclostridium thermocellum](0.425812740281)
WP_003515569.1	Translational GTPase TypA(0.510693914671)
WP_003515540.1	Translation initiation factor IF-2(0.521282098494)
WP_014522598.1	Signal peptidase I(0.412410061453)
WP_003511666.1	dockerin [Ruminiclostridium thermocellum](0.627070111617)
WP_003513187.1	Transketolase subunit A(0.512700877266)
WP_003514670.1	Translation initiation factor IF-1(0.53793689442)
WP_003512134.1	IQ motif containing H(0.595545887912)
WP_003513096.1	Adenylylsulfate reductase thioredoxin dependent(0.479376351626)
WP_003512112.1	6,7-dimethyl-8-ribityllumazine synthase(0.600056861965)
WP_003515567.1	30S ribosomal protein S2(0.531762861274)
WP_003516250.1	Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr(0.368969030787)
WP_003511658.1	Long-chain-fatty-acid--CoA ligase FadD13(0.42951421866)
WP_003517412.1	ABC transporter(0.346841928787)
WP_080514902.1	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 2(0.69505928028)
WP_003511662.1	iron-sulfur protein [Ruminiclostridium thermocellum](0.594873006283)
WP_003516517.1	Putative aminopeptidase CelM(0.519284672126)
WP_003515583.1	Endonuclease MutS2(0.638269668482)
WP_003520966.1	Ferrous iron transport protein A(0.571678414345)
WP_003514612.1	RNA polymerase sigma 28 subunit Sig B/F/G subfamily(0.448728620214)
WP_003516370.1	RNA-binding cell division protein,photosystem II S4 domain protein(0.829527350855)
WP_003517410.1	Negative regulatory protein yxlE(0.798057059516)
WP_003511659.1	Hsp20/alpha crystallin family protein [Ruminiclostridium thermocellum](0.593795392695)
WP_003511606.1	2-hydroxyglutaryl-CoA dehydratase D-component(0.722960389341)
WP_003511546.1	Phosphorylated carbohydrates phosphatase(0.317151712031)
WP_003513956.1	Nucleotidyltransferase(0.435520468344)
WP_003518866.1	Serine protein kinase PrkA(0.46003187143)
WP_003517976.1	Flagellar biosynthesis protein FliZ(0.582869951427)
WP_003514662.1	Protein translocase subunit SecY(0.524819255289)
WP_003516577.1	Ubiquitin-like domain-containing protein(0.293605385551)
WP_003511544.1	acyl-ACP thioesterase [Ruminiclostridium thermocellum](0.696200191088)
WP_003512683.1	NAD-dependent methanol dehydrogenase(0.381928905223)
WP_003513471.1	phosphatidylethanolamine-binding protein [Ruminiclostridium thermocellum](0.398506113476)
WP_003516156.1	Citrate transporter(0.553900126807)
WP_003519164.1	Type IV pilus assembly PilZ(0.401396455382)
WP_003517107.1	Beta-1,4-galactosyltransferase enhancer(0.823356283095)
WP_003512977.1	Cytidine and deoxycytidylate deaminase zinc-binding region(0.46821101432)
WP_003516575.1	Serine/threonine protein phosphatase PrpC(0.304047287345)
WP_003514641.1	30S ribosomal protein S17(0.525690657468)
WP_003515577.1	Peptidoglycan glycosyltransferase(0.377131266663)
WP_003513934.1	Thioredoxin-disulfide reductase(0.453251287036)
WP_003511670.1	peptidase S8 [Ruminiclostridium thermocellum](0.293623099001)
WP_003512316.1	Small acid-soluble spore protein alpha/beta type(0.695345669933)
WP_003513185.1	Transketolase subunit B(0.498869947832)
WP_003513536.1	tRNA(Ile)-lysidine synthase(0.626719639548)
WP_003513098.1	Sulfate/thiosulfate import ATP-binding protein CysA(0.672893076908)
WP_003517748.1	Methyltransferase(0.601565230196)
WP_003511963.1	Superoxide dismutase Fe-Mn family protein(0.797203957815)
