0.936493	0.830616	0.917511	0.894873	ADU75522_1
0.995023	0.937380	0.973789	0.968731	WP_003511598_1
0.957467	0.837263	0.925325	0.906685	WP_003513368_1
0.906192	0.776953	0.882155	0.855100	WP_003513693_1
0.936672	0.731452	0.835208	0.834444	WP_003513758_1
0.669959	0.633904	0.739621	0.681161	WP_003514194_1
0.991910	0.921072	0.970801	0.961261	WP_003516878_1
0.884321	0.763145	0.836443	0.827970	WP_003518117_1
0.934134	0.821127	0.931502	0.895588	WP_003518388_1
0.534445	0.479761	0.658586	0.557597	WP_003519206_1
0.994392	0.900698	0.977882	0.957657	WP_003519435_1
0.936136	0.830616	0.917284	0.894679	WP_014522638_1
0.935233	0.824625	0.922155	0.894004	WP_014522642_1
0.941475	0.834381	0.936849	0.904235	WP_014522644_1
0.938428	0.829770	0.917964	0.895387	WP_095522196_1
