#;Locus tag;Length;Product;Completeness;Gene onthology;SEED;Protein databases;Genome annotation databases;Family and domain databases;Crossreferences;
    1;WP_003515701.1 hypothetical protein [Hungateiclostridium thermocellum];209;Uncharacterized protein;100.00% [209/209];;;Uniprot (A3DED0)|Interpro (A3DED0);KEGG (cth:Cthe_1077)|KEGG GM (cth:Cthe_1077);;NCBI (489611260)|EMBL (CP000568);
2;WP_003515703.1 hypothetical protein [Hungateiclostridium thermocellum];105;Uncharacterized protein;100.00% [105/105];;;Uniprot (A3DED1)|Interpro (A3DED1);KEGG (cth:Cthe_1078)|KEGG GM (cth:Cthe_1078);;NCBI (489611262)|EMBL (CP000568);
3;WP_003513273.1 hypothetical protein [Hungateiclostridium thermocellum];87;Uncharacterized protein;100.00% [87/87];;;Uniprot (A3DI19)|Interpro (A3DI19);KEGG (cth:Cthe_2396)|KEGG GM (cth:Cthe_2396);;NCBI (125715106)|EMBL (CP000568);
4;WP_003516128.1 hypothetical protein [Hungateiclostridium thermocellum];807;Uncharacterized protein;99.02% [807/815];GO:0016021 - integral component of membrane;;Uniprot (A3DK87)|Interpro (A3DK87);KEGG (cth:Cthe_3171)|KEGG GM (cth:Cthe_3171);;NCBI (521293774)|EMBL (CP000568);
5;WP_037295074.1 hypothetical protein [Hungateiclostridium thermocellum];37;Methyltransf_11 domain-containing protein;40.22% [37/92];GO:0008168 - methyltransferase activity;;Uniprot (A0A496B9E0)|Interpro (A0A496B9E0);;Interpro (IPR013216)|Interpro (IPR029063)|Pfam (PF08241);EMBL (PYJF01000065);
6;WP_003520766.1 hypothetical protein [Hungateiclostridium thermocellum];318;DUF2154 domain-containing protein;99.07% [318/321];GO:0016021 - integral component of membrane;;Uniprot (A3DBI5)|Interpro (A3DBI5);KEGG (cth:Cthe_0073)|KEGG GM (cth:Cthe_0073);Interpro (IPR024425)|Pfam (PF09922);NCBI (500163076)|EMBL (CP000568);
7;WP_003514917.1 hypothetical protein [Hungateiclostridium thermocellum];348;Uncharacterized protein;100.00% [348/348];GO:0016021 - integral component of membrane;;Uniprot (A3DJR0)|Interpro (A3DJR0);KEGG (cth:Cthe_2993)|KEGG GM (cth:Cthe_2993);;NCBI (489610476)|EMBL (CP000568);
8;WP_003512715.1 PFL family protein [Hungateiclostridium thermocellum];452;UPF0210 protein Cthe_0410;100.00% [452/452];;;Uniprot (A3DCG9)|Interpro (A3DCG9);KEGG (cth:Cthe_0410)|KEGG GM (cth:Cthe_0410);Interpro (IPR007841)|Pfam (PF05167);NCBI (489608274)|EMBL (CP000568);
9;WP_003518465.1 hypothetical protein [Hungateiclostridium thermocellum];98;Uncharacterized protein;47.57% [98/206];;;Uniprot (A0A3C0C991)|Interpro (A0A3C0C991);;;EMBL (DMGM01000099);
10;WP_003515994.1 hypothetical protein [Hungateiclostridium thermocellum];150;Uncharacterized protein;99.34% [150/151];;;Uniprot (A0A231VHE2)|Interpro (A0A231VHE2);;;NCBI (1226599806)|EMBL (NKHD01000021);
11;WP_003513762.1 hypothetical protein [Hungateiclostridium thermocellum];320;Uncharacterized protein;100.00% [320/320];;;Uniprot (A3DGH8)|Interpro (A3DGH8);KEGG (cth:Cthe_1836)|KEGG GM (cth:Cthe_1836);;NCBI (125714565)|EMBL (CP000568);
12;WP_003514025.1 hypothetical protein [Hungateiclostridium thermocellum];122;Uncharacterized protein;94.57% [122/129];;;Uniprot (A0A2S8RAH3)|Interpro (A0A2S8RAH3);;;EMBL (NEMB01000003);
13;WP_004463341.1 hypothetical protein [Hungateiclostridium thermocellum];79;Uncharacterized protein;100.00% [79/79];;;Uniprot (A3DDF8)|Interpro (A3DDF8);KEGG (cth:Cthe_0752)|KEGG GM (cth:Cthe_0752);;NCBI (490598321)|EMBL (CP000568);
14;WP_003516833.1 HNH endonuclease [Hungateiclostridium thermocellum];170;Uncharacterized protein;39.44% [170/431];;;Uniprot (A0A2G7HK06)|Interpro (A0A2G7HK06);;;EMBL (PEIK01000002);
15;WP_041740090.1 hypothetical protein [Hungateiclostridium thermocellum];77;Acetyltransferase;81.05% [77/95];GO:0008080 - N-acetyltransferase activity;;Uniprot (W4V6M8)|Interpro (W4V6M8);;Interpro (IPR016181)|Interpro (IPR000182);EMBL (BAVR01000026);
16;ADU73744.1 hypothetical protein Clo1313_0664 [Hungateiclostridium thermocellum DSM 1313];40;Uncharacterized protein;100.00% [40/40];;;Uniprot (G2JCE5)|Interpro (G2JCE5);KEGG (cth:Cthe_3421)|KEGG GM (cth:Cthe_3421);;NCBI (345548377)|EMBL (CP000568);
17;WP_003514927.1 hypothetical protein [Hungateiclostridium thermocellum];116;Uncharacterized protein;99.15% [116/117];;;Uniprot (A3DJQ5)|Interpro (A3DJQ5);KEGG (cth:Cthe_2988)|KEGG GM (cth:Cthe_2988);;NCBI (125715692)|EMBL (CP000568);
18;WP_003512571.1 VOC family protein [Hungateiclostridium thermocellum];144;VOC domain-containing protein;99.31% [144/145];;;Uniprot (A3DC90)|Interpro (A3DC90);KEGG (cth:Cthe_0331)|KEGG GM (cth:Cthe_0331);Interpro (IPR029068)|Interpro (IPR037523);NCBI (500163141)|EMBL (CP000568);
19;WP_003519571.1 MULTISPECIES: hypothetical protein [Hungateiclostridium];187;Uncharacterized protein;100.00% [187/187];;;Uniprot (W4VE27)|Interpro (W4VE27);;;NCBI (489615130)|EMBL (BAVR01000131);
20;WP_003515424.1 hypothetical protein [Hungateiclostridium thermocellum];244;Uncharacterized protein;100.00% [244/244];GO:0016021 - integral component of membrane;;Uniprot (A3DIU0)|Interpro (A3DIU0);KEGG (cth:Cthe_2670)|KEGG GM (cth:Cthe_2670);;NCBI (489610983)|EMBL (CP000568);
21;WP_003513993.1 hypothetical protein [Hungateiclostridium thermocellum];187;Uncharacterized protein;100.00% [187/187];;;Uniprot (A3DGW3)|Interpro (A3DGW3);KEGG (cth:Cthe_1974)|KEGG GM (cth:Cthe_1974);;NCBI (489609552)|EMBL (CP000568);
22;WP_003515426.1 hypothetical protein [Hungateiclostridium thermocellum];122;Uncharacterized protein;94.57% [122/129];;;Uniprot (A3DIT8)|Interpro (A3DIT8);KEGG (cth:Cthe_2668)|KEGG GM (cth:Cthe_2668);;NCBI (125715375)|EMBL (CP000568);
23;WP_003519116.1 hypothetical protein [Hungateiclostridium thermocellum];119;Uncharacterized protein;80.95% [119/147];GO:0016021 - integral component of membrane;;Uniprot (A3DET6)|Interpro (A3DET6);KEGG (cth:Cthe_1233)|KEGG GM (cth:Cthe_1233);;NCBI (125713973)|EMBL (CP000568);
24;WP_003518700.1 hypothetical protein [Hungateiclostridium thermocellum];86;Uncharacterized protein;100.00% [86/86];;;Uniprot (A3DDK8)|Interpro (A3DDK8);KEGG (cth:Cthe_0802)|KEGG GM (cth:Cthe_0802);;NCBI (125713545)|EMBL (CP000568);
25;WP_003512563.1 S-layer homology domain-containing protein [Hungateiclostridium thermocellum];856;S-layer domain-containing protein;99.88% [856/857];;;Uniprot (A3DC86)|Interpro (A3DC86);KEGG (cth:Cthe_0327)|KEGG GM (cth:Cthe_0327);Interpro (IPR001434)|Interpro (IPR001119)|Pfam (PF00395);NCBI (500163140)|EMBL (CP000568);
26;WP_003514043.1 hypothetical protein [Hungateiclostridium thermocellum];106;Uncharacterized protein;93.81% [106/113];;;Uniprot (A0A4Q0I3U3)|Interpro (A0A4Q0I3U3);;;EMBL (RLII01000059);
27;WP_003511672.1 hypothetical protein [Hungateiclostridium thermocellum];186;Uncharacterized protein;100.00% [186/186];GO:0016021 - integral component of membrane;;Uniprot (A3DK55)|Interpro (A3DK55);KEGG (cth:Cthe_3139)|KEGG GM (cth:Cthe_3139);;NCBI (489607231)|EMBL (CP000568);
28;ADU74031.1 hypothetical protein Clo1313_0963 [Hungateiclostridium thermocellum DSM 1313];38;Uncharacterized protein;100.00% [38/38];;;Uniprot (G2JC94)|Interpro (G2JC94);KEGG (cth:Cthe_3347)|KEGG GM (cth:Cthe_3347);;NCBI (345548310)|EMBL (CP000568);
29;WP_003518874.1 hypothetical protein [Hungateiclostridium thermocellum];192;Uncharacterized protein;100.00% [192/192];;;Uniprot (A3DER3)|Interpro (A3DER3);KEGG (cth:Cthe_1210)|KEGG GM (cth:Cthe_1210);;NCBI (489614433)|EMBL (CP000568);
30;ADU75309.1 hypothetical protein Clo1313_2279 [Hungateiclostridium thermocellum DSM 1313];36;Uncharacterized protein;100.00% [36/36];;;Uniprot (G2JCA1)|Interpro (G2JCA1);KEGG (cth:Cthe_3360)|KEGG GM (cth:Cthe_3360);;NCBI (345548317)|EMBL (CP000568);
31;WP_003512610.1 hypothetical protein [Hungateiclostridium thermocellum];371;Uncharacterized protein;100.00% [371/371];;;Uniprot (A3DCB2)|Interpro (A3DCB2);KEGG (cth:Cthe_0353)|KEGG GM (cth:Cthe_0353);;NCBI (489608169)|EMBL (CP000568);
32;WP_003517372.1 DUF4418 family protein [Hungateiclostridium thermocellum];145;Uncharacterized protein;100.00% [145/145];GO:0016021 - integral component of membrane;;Uniprot (A3DFQ8)|Interpro (A3DFQ8);KEGG (cth:Cthe_1561)|KEGG GM (cth:Cthe_1561);Interpro (IPR025531)|Pfam (PF14387);NCBI (489612931)|EMBL (CP000568);
33;WP_041740028.1 hypothetical protein [Ruminiclostridium thermocellum];43;Transposase;69.35% [43/62];;;Uniprot (A0A1E3C4E4)|Interpro (A0A1E3C4E4);;Interpro (IPR017894)|Interpro (IPR002560)|Pfam (PF01610);NCBI (1061402942)|EMBL (LXSB01000001);
34;WP_003515965.1 MULTISPECIES: hypothetical protein [Hungateiclostridium];30;GNAT family N-acetyltransferase;44.78% [30/67];GO:0008080 - N-acetyltransferase activity;;Uniprot (A0A351TS10)|Interpro (A0A351TS10);;Interpro (IPR016181)|Interpro (IPR000182)|Pfam (PF13302);EMBL (DNJV01000458);
35;WP_003517359.1 diguanylate cyclase [Hungateiclostridium thermocellum];111;Dinitrogenase iron-molybdenum cofactor biosynthesis protein;100.00% [111/111];;Nitrogen fixation;Uniprot (A3DFR4)|Interpro (A3DFR4);KEGG (cth:Cthe_1567)|KEGG GM (cth:Cthe_1567);Interpro (IPR003731)|Interpro (IPR036105)|Pfam (PF02579);NCBI (489612918)|EMBL (CP000568);
36;WP_003515967.1 MULTISPECIES: hypothetical protein [Hungateiclostridium];46;APH domain-containing protein;46.00% [46/100];;;Uniprot (A0A359MTX6)|Interpro (A0A359MTX6);;Interpro (IPR002575)|Interpro (IPR011009)|Pfam (PF01636);EMBL (DPWW01000326);
