ProteinID	ortholog	evalue	Score	Predicted_Gene_name	GO_terms	KEGG_KO	BiGG_Reactions	Matching_Ogs	Best_OG_value	COG_functional_categories	HMM_model_annotation
WP_003511511.1	203119.Cthe_3065	5.50E-274	898.3					"071NF@bactNOG,0EQVC@cloNOG,0NFKJ@firmNOG,0XSHV@NOG"	071NF|7.82624486734e-152|508.806243896	S	NA
WP_003511526.1	203119.Cthe_3067	4.90E-155	503.8			K01992		"07NXA@bactNOG,0ERDU@cloNOG,0NGH4@firmNOG,0Z93T@NOG"	07NXA|1.79361408484e-114|384.671478271	S	Membrane Spanning Protein
WP_003511531.1	203119.Cthe_3069	2.20E-155	507.6					"05DPZ@bactNOG,0ENXR@cloNOG,0NDD8@firmNOG,COG0745@NOG"	0ENXR|5.02697997021e-105|352.893341064	T	regulator
WP_003511534.1	203119.Cthe_3070	2.10E-132	432					"08ZDA@bactNOG,0ET6Z@cloNOG,0NJ9D@firmNOG,11N5J@NOG"	08ZDA|1.60230773611e-65|223.130065918	S	Sporulation protein YyaC
WP_003511538.1	203119.Cthe_3071	6.50E-43	132.1					"06D6V@bactNOG,0EXAQ@cloNOG,0NRK0@firmNOG,0Y356@NOG"	06D6V|1.25933650158e-33|117.287536621	S	Domain of Unknown Function (DUF1540)
WP_003511544.1	203119.Cthe_3072	5.60E-176	577.1	FAT	"GO:0000036,GO:0003674,GO:0005488,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009987,GO:0016053,GO:0019752,GO:0032787,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044620,GO:0044710,GO:0044711,GO:0046394,GO:0048037,GO:0051192,GO:0071704,GO:0072330,GO:1901576"	K01071		"08VEM@bactNOG,0ERWS@cloNOG,0NIYW@firmNOG,COG3884@NOG"	08VEM|2.70007529957e-81|275.543426514	I	Acyl-ACP thioesterase
WP_003511546.1	203119.Cthe_3073	8.00E-146	478.3			"K01838,K17623"		"05MN5@bactNOG,0ESB9@cloNOG,0NKRN@firmNOG,COG0637@NOG"	05MN5|3.37011402149e-62|213.825149536	J	HAD-superfamily hydrolase subfamily IA variant 3
WP_003511547.1	203119.Cthe_3074	2.10E-211	690.5			K07024		"081J3@bactNOG,0EUNY@cloNOG,0NMBN@firmNOG,COG0561@NOG"	081J3|1.41807106423e-114|384.879943848	S	hydrolase
WP_003511548.1	203119.Cthe_3075	0	1165.1	YFBK		K07114		"05CP2@bactNOG,0ER8I@cloNOG,0NFX8@firmNOG,COG2304@NOG"	05CP2|1.20149586167e-211|708.013000488	O	"von willebrand factor, type a"
WP_003511549.1	203119.Cthe_3076	1.50E-304	998.7					"07Z6E@bactNOG,0F4WX@cloNOG,0P3EB@firmNOG,COG0535@NOG"	07Z6E|6.21729019932e-155|519.137207031	S	radical SAM domain protein
