ProeinID	KO_terms	KEGG_Term	Score	Second best	
WP_003511511.1			63	K01950	1
WP_003511526.1	K01992	ABC-2.P; ABC-2 type transport system permease protein	53		
WP_003511531.1			159		
WP_003511534.1			103		
WP_003511538.1			21	K14379	1
WP_003511544.1			67	K01071	10
WP_003511546.1			68		
WP_003511547.1			63		
WP_003511548.1	K07114	yfbK; Ca-activated chloride channel homolog	264		
WP_003511549.1			101		
WP_003511555.1			33		
WP_003511556.1			5	K02476	1
WP_003511557.1			6	K03496	1
WP_003511558.1	K07444	ypsC; putative N6-adenine-specific DNA methylase [EC:2.1.1.-]	248		
WP_003511560.1			12	K02488	1
WP_003511564.1	K00800	aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]	223		
WP_003511571.1	K03530	hupB; DNA-binding protein HU-beta	60		
WP_003511573.1			8	K07646	5
WP_003511577.1	K01678	E4.2.1.2AB; fumarate hydratase subunit beta [EC:4.2.1.2]	120		
WP_003511583.1			52		
WP_003511587.1	K01939	purA; adenylosuccinate synthase [EC:6.3.4.4]	303		
WP_003511591.1	K20534	gtrB; polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]	212		
WP_003511596.1	K00728	POMT; dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]	193		
WP_003511598.1			57	K00728	1
WP_003511600.1	K20534	gtrB; polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]	164		
WP_003511601.1	K09153	uncharacterized protein	22		
WP_003511602.1			76	K00786	22
WP_003511603.1	K01778	dapF; diaminopimelate epimerase [EC:5.1.1.7]	211		
WP_003511604.1	K10206	E2.6.1.83; LL-diaminopimelate aminotransferase [EC:2.6.1.83]	345		
WP_003511605.1			74		
WP_003511606.1			251		
WP_003511607.1			147		
WP_003511610.1	K06920	queC; 7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	144		
WP_003511612.1	K01737	queD; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	79		
WP_003511613.1	K10026	queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]	117		
WP_003511615.1	K21929	udg; uracil-DNA glycosylase [EC:3.2.2.27]	157		
WP_003511616.1	K21929	udg; uracil-DNA glycosylase [EC:3.2.2.27]	110		
WP_003511628.1			203		
WP_003511632.1			191		
WP_003511635.1	K00966	GMPP; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	193		
WP_003511639.1			224		
WP_003511642.1			156		
WP_003511648.1	K07238	"TC.ZIP; zinc transporter, ZIP family"	104		
WP_003511651.1	K07216	hemerythrin	59		
WP_003511653.1			104		
WP_003511655.1			31		
WP_003511658.1			584		
WP_003511659.1	K13993	HSP20; HSP20 family protein	51		
WP_003511662.1			215		
WP_003511665.1	K07114	yfbK; Ca-activated chloride channel homolog	259		
WP_003511666.1			10	K11753	1
WP_003511667.1			80	K00433	33
WP_003511668.1			8	K07114	2
WP_003511669.1			10	K13938	1
WP_003511670.1			39		
WP_003511671.1			3	K02004	2
WP_003511672.1			50	K21023	1
WP_003511673.1			56		
WP_003511674.1			28	K00230	1
WP_003511675.1			76		
WP_003511676.1			121		
WP_003511677.1	K06147	"ABCB-BAC; ATP-binding cassette, subfamily B, bacterial"	395		
WP_003511680.1	K02227	cbiB; adenosylcobinamide-phosphate synthase [EC:6.3.1.10]	171		
WP_003511681.1	K02231	cobP; adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]	104		
WP_003511682.1	K02233	E2.7.8.26; adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]	135		
WP_003511683.1	K02226	cobC; alpha-ribazole phosphatase [EC:3.1.3.73]	65		
WP_003511686.1	K03406	mcp; methyl-accepting chemotaxis protein	133		
