Protein_Accession	MD5	Seq_Len	Analysis	Signature_Accession	Signature_Descr	Start_location	Stop_location	Score (Eval)	Match	Date	InterPro_annot	InterPro_desc	GO_annot	Pathways_annot
WP_003512038.1	6b4a6a452ade28d00bb6b46db0d845cc	171	PANTHER	PTHR40032		6	157	3.60E-27	T	20-06-2018				
WP_003512038.1	6b4a6a452ade28d00bb6b46db0d845cc	171	Gene3D	G3DSA:3.90.1720.10		3	168	6.80E-11	T	20-06-2018				
WP_003512038.1	6b4a6a452ade28d00bb6b46db0d845cc	171	Pfam	PF12671	Putative amidase domain	11	157	1.60E-39	T	20-06-2018	IPR024301	Putative amidase domain		
WP_003513643.1	4c038997ffdafed0d7bac3a9373b89ba	391	Gene3D	G3DSA:2.30.40.10		323	378	1.40E-09	T	20-06-2018	IPR011059	"Metal-dependent hydrolase, composite domain superfamily"	GO:0016810	
WP_003513643.1	4c038997ffdafed0d7bac3a9373b89ba	391	SUPERFAMILY	SSF51556		60	343	1.82E-64	T	20-06-2018	IPR032466	Metal-dependent hydrolase		
WP_003513643.1	4c038997ffdafed0d7bac3a9373b89ba	391	PANTHER	PTHR11647:SF88		8	377	3.10E-80	T	20-06-2018				
WP_003513643.1	4c038997ffdafed0d7bac3a9373b89ba	391	Pfam	PF01979	Amidohydrolase family	56	372	6.30E-18	T	20-06-2018	IPR006680	Amidohydrolase-related	GO:0016787	
WP_003513643.1	4c038997ffdafed0d7bac3a9373b89ba	391	Gene3D	G3DSA:2.30.40.10		4	70	3.30E-13	T	20-06-2018	IPR011059	"Metal-dependent hydrolase, composite domain superfamily"	GO:0016810	
WP_003513643.1	4c038997ffdafed0d7bac3a9373b89ba	391	SUPERFAMILY	SSF51338		343	385	5.36E-24	T	20-06-2018	IPR011059	"Metal-dependent hydrolase, composite domain superfamily"	GO:0016810	
WP_003513643.1	4c038997ffdafed0d7bac3a9373b89ba	391	SUPERFAMILY	SSF51338		2	59	5.36E-24	T	20-06-2018	IPR011059	"Metal-dependent hydrolase, composite domain superfamily"	GO:0016810	
WP_003513643.1	4c038997ffdafed0d7bac3a9373b89ba	391	Coils	Coil		103	123	-	T	20-06-2018				
WP_003513643.1	4c038997ffdafed0d7bac3a9373b89ba	391	Gene3D	G3DSA:3.20.20.140		71	322	1.50E-109	T	20-06-2018				
WP_003513643.1	4c038997ffdafed0d7bac3a9373b89ba	391	PIRSF	PIRSF001238		5	387	8.90E-158	T	20-06-2018	IPR010229	"Peptidase M38, beta-aspartyl dipeptidase"	GO:0008798	
WP_003513643.1	4c038997ffdafed0d7bac3a9373b89ba	391	PANTHER	PTHR11647		8	377	3.10E-80	T	20-06-2018				
WP_003513643.1	4c038997ffdafed0d7bac3a9373b89ba	391	TIGRFAM	TIGR01975	isoAsp_dipep: beta-aspartyl peptidase	6	386	8.70E-138	T	20-06-2018	IPR010229	"Peptidase M38, beta-aspartyl dipeptidase"	GO:0008798	
WP_003517903.1	5c4895099dc03e1087e0b41e011841da	364	ProSitePatterns	PS01134	FtsZ protein signature 1.	44	78	-	T	20-06-2018	IPR020805	"Cell division protein FtsZ, conserved site"	GO:0005525|GO:0005737	
WP_003517903.1	5c4895099dc03e1087e0b41e011841da	364	SUPERFAMILY	SSF55307		204	317	1.97E-45	T	20-06-2018	IPR008280	"Tubulin/FtsZ, C-terminal"		Reactome: R-HSA-380320
WP_003517903.1	5c4895099dc03e1087e0b41e011841da	364	Gene3D	G3DSA:3.40.50.1440		6	214	2.50E-44	T	20-06-2018	IPR036525	"Tubulin/FtsZ, GTPase domain superfamily"	GO:0003924	Reactome: R-HSA-380320
WP_003517903.1	5c4895099dc03e1087e0b41e011841da	364	PRINTS	PR00423	Cell division protein FtsZ signature	189	211	1.70E-51	T	20-06-2018	IPR003008	"Tubulin/FtsZ, GTPase domain"	GO:0003924	Reactome: R-HSA-380320
WP_003517903.1	5c4895099dc03e1087e0b41e011841da	364	PRINTS	PR00423	Cell division protein FtsZ signature	126	147	1.70E-51	T	20-06-2018	IPR003008	"Tubulin/FtsZ, GTPase domain"	GO:0003924	Reactome: R-HSA-380320
WP_003517903.1	5c4895099dc03e1087e0b41e011841da	364	PRINTS	PR00423	Cell division protein FtsZ signature	212	233	1.70E-51	T	20-06-2018	IPR003008	"Tubulin/FtsZ, GTPase domain"	GO:0003924	Reactome: R-HSA-380320
WP_003517903.1	5c4895099dc03e1087e0b41e011841da	364	PRINTS	PR00423	Cell division protein FtsZ signature	98	118	1.70E-51	T	20-06-2018	IPR003008	"Tubulin/FtsZ, GTPase domain"	GO:0003924	Reactome: R-HSA-380320
WP_003517903.1	5c4895099dc03e1087e0b41e011841da	364	Gene3D	G3DSA:3.30.1330.20		215	322	2.40E-48	T	20-06-2018	IPR037103	"Tubulin/FtsZ, C-terminal domain superfamily"		Reactome: R-HSA-1445148|Reactome: R-HSA-190840|Reactome: R-HSA-190861|Reactome: R-HSA-2132295|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3371497|Reactome: R-HSA-380320|Reactome: R-HSA-437239|Reactome: R-HSA-5617833|Reactome: R-HSA-5626467|Reactome: R-HSA-5663220|Reactome: R-HSA-6807878|Reactome: R-HSA-6811434|Reactome: R-HSA-6811436|Reactome: R-HSA-68877|Reactome: R-HSA-8852276|Reactome: R-HSA-8955332|Reactome: R-HSA-983189
WP_003517903.1	5c4895099dc03e1087e0b41e011841da	364	Pfam	PF12327	"FtsZ family, C-terminal domain"	222	316	1.80E-38	T	20-06-2018	IPR024757	"Cell division protein FtsZ, C-terminal"		
WP_003517903.1	5c4895099dc03e1087e0b41e011841da	364	Hamap	MF_00909	Cell division protein FtsZ [ftsZ].	9	353	39.794	T	20-06-2018	IPR000158	Cell division protein FtsZ	GO:0005525	
WP_003517903.1	5c4895099dc03e1087e0b41e011841da	364	Pfam	PF00091	"Tubulin/FtsZ family, GTPase domain"	14	173	4.80E-44	T	20-06-2018	IPR003008	"Tubulin/FtsZ, GTPase domain"	GO:0003924	Reactome: R-HSA-380320
WP_003517903.1	5c4895099dc03e1087e0b41e011841da	364	SUPERFAMILY	SSF52490		12	208	3.14E-73	T	20-06-2018	IPR036525	"Tubulin/FtsZ, GTPase domain superfamily"	GO:0003924	Reactome: R-HSA-380320
WP_003517903.1	5c4895099dc03e1087e0b41e011841da	364	SMART	SM00864		13	205	1.90E-117	T	20-06-2018	IPR003008	"Tubulin/FtsZ, GTPase domain"	GO:0003924	Reactome: R-HSA-380320
WP_003517903.1	5c4895099dc03e1087e0b41e011841da	364	CDD	cd02201	FtsZ_type1	29	314	1.43E-157	T	20-06-2018	IPR000158	Cell division protein FtsZ	GO:0005525	
WP_003517903.1	5c4895099dc03e1087e0b41e011841da	364	MobiDBLite	mobidb-lite	consensus disorder prediction	325	347	-	T	20-06-2018				
WP_003517903.1	5c4895099dc03e1087e0b41e011841da	364	SMART	SM00865		207	324	8.40E-59	T	20-06-2018	IPR018316	"Tubulin/FtsZ, 2-layer sandwich domain"		Reactome: R-HSA-1445148|Reactome: R-HSA-190840|Reactome: R-HSA-190861|Reactome: R-HSA-2132295|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3371497|Reactome: R-HSA-380320|Reactome: R-HSA-437239|Reactome: R-HSA-5617833|Reactome: R-HSA-5626467|Reactome: R-HSA-5663220|Reactome: R-HSA-6807878|Reactome: R-HSA-6811434|Reactome: R-HSA-6811436|Reactome: R-HSA-68877|Reactome: R-HSA-8852276|Reactome: R-HSA-8955332|Reactome: R-HSA-983189
WP_003517903.1	5c4895099dc03e1087e0b41e011841da	364	TIGRFAM	TIGR00065	ftsZ: cell division protein FtsZ	10	326	8.90E-139	T	20-06-2018	IPR000158	Cell division protein FtsZ	GO:0005525	
WP_003517903.1	5c4895099dc03e1087e0b41e011841da	364	ProSitePatterns	PS01135	FtsZ protein signature 2.	97	118	-	T	20-06-2018	IPR020805	"Cell division protein FtsZ, conserved site"	GO:0005525|GO:0005737	
WP_003517903.1	5c4895099dc03e1087e0b41e011841da	364	PANTHER	PTHR30314		6	340	1.00E-154	T	20-06-2018				
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	Gene3D	G3DSA:3.40.50.620		113	370	1.80E-57	T	20-06-2018	IPR014729	Rossmann-like alpha/beta/alpha sandwich fold		
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	PANTHER	PTHR11956		1	564	5.00E-111	T	20-06-2018	IPR001278	Arginine-tRNA ligase	GO:0004814|GO:0005524|GO:0006420	KEGG: 00970+6.1.1.19
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	ProSitePatterns	PS00178	Aminoacyl-transfer RNA synthetases class-I signature.	138	147	-	T	20-06-2018	IPR001412	"Aminoacyl-tRNA synthetase, class I, conserved site"	GO:0000166|GO:0004812|GO:0005524|GO:0006418	
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	PANTHER	PTHR11956:SF5		1	564	5.00E-111	T	20-06-2018				
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	TIGRFAM	TIGR00456	argS: arginine--tRNA ligase	12	564	1.70E-140	T	20-06-2018	IPR001278	Arginine-tRNA ligase	GO:0004814|GO:0005524|GO:0006420	KEGG: 00970+6.1.1.19
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	SUPERFAMILY	SSF52374		123	455	1.58E-92	T	20-06-2018				
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	Pfam	PF00750	tRNA synthetases class I (R)	116	411	1.90E-23	T	20-06-2018	IPR035684	"Arginyl-tRNA synthetase, catalytic core domain"		KEGG: 00970+6.1.1.19
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	Pfam	PF05746	DALR anticodon binding domain	444	564	8.40E-31	T	20-06-2018	IPR008909	DALR anticodon binding	GO:0004814|GO:0005524|GO:0006420	
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	SUPERFAMILY	SSF55190		11	119	3.92E-27	T	20-06-2018	IPR036695	Arginyl tRNA synthetase N-terminal domain superfamily	GO:0000166|GO:0004814|GO:0005524|GO:0005737|GO:0006420	KEGG: 00970+6.1.1.19
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	CDD	cd00671	ArgRS_core	128	395	1.14E-76	T	20-06-2018	IPR035684	"Arginyl-tRNA synthetase, catalytic core domain"		KEGG: 00970+6.1.1.19
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	Gene3D	G3DSA:1.10.730.10		410	564	7.00E-45	T	20-06-2018				
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	PRINTS	PR01038	Arginyl-tRNA synthetase signature	312	333	1.10E-20	T	20-06-2018	IPR001278	Arginine-tRNA ligase	GO:0004814|GO:0005524|GO:0006420	KEGG: 00970+6.1.1.19
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	PRINTS	PR01038	Arginyl-tRNA synthetase signature	143	159	1.10E-20	T	20-06-2018	IPR001278	Arginine-tRNA ligase	GO:0004814|GO:0005524|GO:0006420	KEGG: 00970+6.1.1.19
