GO.ID	Term	Annotated	Significant	Expected	Rank in elimFisher	weight01Fisher	elimFisher	Protein	PUF
GO:0006508	proteolysis	77	9	3.48	1	0.0058	0.0058	WP_003511746.1;WP_003513498.1;WP_003514326.1;WP_003514667.1;WP_003514681.1;WP_003517498.1;WP_003517525.1;WP_003518001.1;WP_003519075.1	WP_003512220.1;WP_003514194.1;WP_003516360.1
GO:0006760	folic acid-containing compound metabolic...	14	3	0.63	3	0.0223	0.0223	WP_003513452.1;WP_003515478.1;WP_003515507.1	WP_003512220.1;WP_003514194.1;WP_003516360.1
GO:0032508	DNA duplex unwinding	15	3	0.68	4	0.0269	0.0269	WP_003516530.1;WP_003517639.1;WP_003518077.1	WP_003512220.1;WP_003514194.1;WP_003516360.1
GO:0032259	methylation	55	6	2.49	6	0.0444	0.0333	WP_003513452.1;WP_003516139.1;WP_003516178.1;WP_003516470.1;WP_003516591.1;WP_003518536.1	WP_003512220.1;WP_003514194.1;WP_003516360.1
GO:0008152	metabolic process	955	48	43.17	9	0.0462	0.0670	WP_003511746.1;WP_003512416.1;WP_003512661.1;WP_003513203.1;WP_003513419.1;WP_003513452.1;WP_003513498.1;WP_003513674.1;WP_003514194.1;WP_003514326.1;WP_003514456.1;WP_003514635.1;WP_003514667.1;WP_003514681.1;WP_003515478.1;WP_003515507.1;WP_003515614.1;WP_003516139.1;WP_003516178.1;WP_003516184.1;WP_003516241.1;WP_003516360.1;WP_003516470.1;WP_003516518.1;WP_003516525.1;WP_003516530.1;WP_003516591.1;WP_003516617.1;WP_003516870.1;WP_003517498.1;WP_003517525.1;WP_003517617.1;WP_003517639.1;WP_003517797.1;WP_003517868.1;WP_003518001.1;WP_003518029.1;WP_003518077.1;WP_003518445.1;WP_003518536.1;WP_003518554.1;WP_003518592.1;WP_003518635.1;WP_003518893.1;WP_003519002.1;WP_003519075.1;WP_003519170.1;WP_011837932.1	WP_003512220.1;WP_003514194.1;WP_003516360.1
GO:0010467	gene expression	276	12	12.48	230	0.0469	0.6191	WP_003511746.1;WP_003513419.1;WP_003514635.1;WP_003514681.1;WP_003515614.1;WP_003516139.1;WP_003516241.1;WP_003516470.1;WP_003518029.1;WP_003518554.1;WP_003519075.1;WP_011837932.1	WP_003512220.1;WP_003514194.1;WP_003516360.1
GO:0030001	metal ion transport	19	3	0.86	7	0.0505	0.0505	NA	NA
GO:0006633	fatty acid biosynthetic process	10	2	0.45	10	0.0715	0.0715	NA	NA
GO:0043604	amide biosynthetic process	131	8	5.92	42	0.0726	0.2317	NA	NA
GO:0006555	methionine metabolic process	14	2	0.63	18	0.0876	0.1290	NA	NA
