GO.ID	Term	Annotated	Significant	Expected	Rank in elimFisher	weight01Fisher	elimFisher	Protein	PUF
GO:0051641	cellular localization	11	2	0.11	4	0.0047	0.00471	WP_003514662.1;WP_003517262.1	WP_003515787.1;WP_003516386.1;WP_003517490.1
GO:0055085	transmembrane transport	86	4	0.86	5	0.0074	0.00737	WP_003514662.1;WP_003514910.1;WP_003517262.1;WP_003519437.1	WP_003515787.1;WP_003516386.1;WP_003517490.1
GO:0071702	organic substance transport	39	4	0.39	1	0.0078	0.00037	WP_003514662.1;WP_003514910.1;WP_003517262.1;WP_003519437.1	WP_003515787.1;WP_003516386.1;WP_003517490.1
GO:0033036	macromolecule localization	20	3	0.2	2	0.0083	0.00076	WP_003514662.1;WP_003514910.1;WP_003517262.1	WP_003515787.1;WP_003516386.1;WP_003517490.1
GO:0015031	protein transport	18	2	0.18	6	0.0126	0.01262	WP_003514662.1;WP_003517262.1	WP_003515787.1;WP_003516386.1;WP_003517490.1
GO:0008299	isoprenoid biosynthetic process	10	1	0.1	11	0.0955	0.09549	NA	NA
GO:0071705	nitrogen compound transport	34	3	0.34	3	0.0957	0.00370	NA	NA
GO:0009108	coenzyme biosynthetic process	55	2	0.55	13	0.1002	0.10016	NA	NA
GO:0044265	cellular macromolecule catabolic process	11	1	0.11	14	0.1046	0.10457	NA	NA
GO:0006081	cellular aldehyde metabolic process	12	1	0.12	16	0.1136	0.11357	NA	NA
GO:0008654	phospholipid biosynthetic process	13	1	0.13	17	0.1225	0.12248	NA	NA
GO:0006760	folic acid-containing compound metabolic...	14	1	0.14	20	0.1313	0.13131	NA	NA
GO:0042398	cellular modified amino acid biosyntheti...	14	1	0.14	21	0.1313	0.13131	NA	NA
GO:0042180	cellular ketone metabolic process	14	1	0.14	22	0.1313	0.13131	NA	NA
GO:0043650	dicarboxylic acid biosynthetic process	20	1	0.2	26	0.1826	0.18262	NA	NA
GO:0043604	amide biosynthetic process	131	2	1.3	54	0.2008	0.38114	NA	NA
GO:0006418	tRNA aminoacylation for protein translat...	23	1	0.23	29	0.2072	0.20723	NA	NA
