GO.ID	Term	Annotated	Significant	Expected	Rank in elimFisher	weight01Fisher	elimFisher	Protein	PUF
GO:0010556	regulation of macromolecule biosynthetic...	106	7	3.64	17	0.032	0.063	WP_003514305.1;WP_003516096.1;WP_003516200.1;WP_003516465.1;WP_003517215.1;WP_003519056.1;WP_014522587.1	WP_003512291.1;WP_003514904.1;WP_003515750.1;WP_003515754.1;WP_003517497.1;WP_003517679.1;WP_003519194.1
GO:0051171	regulation of nitrogen compound metaboli...	117	7	4.02	33	0.032	0.097	WP_003514305.1;WP_003516096.1;WP_003516200.1;WP_003516465.1;WP_003517215.1;WP_003519056.1;WP_014522587.1	WP_003512291.1;WP_003514904.1;WP_003515750.1;WP_003515754.1;WP_003517497.1;WP_003517679.1;WP_003519194.1
GO:2000112	regulation of cellular macromolecule bio...	105	6	3.61	54	0.033	0.143	WP_003514305.1;WP_003516096.1;WP_003516200.1;WP_003516465.1;WP_003519056.1;WP_014522587.1	WP_003512291.1;WP_003514904.1;WP_003515750.1;WP_003515754.1;WP_003517497.1;WP_003517679.1;WP_003519194.1
GO:0009154	purine ribonucleotide catabolic process	42	4	1.44	5	0.052	0.052	NA	NA
GO:0009207	purine ribonucleoside triphosphate catab...	42	4	1.44	6	0.052	0.052	NA	NA
GO:0046417	chorismate metabolic process	11	2	0.38	10	0.052	0.052	NA	NA
GO:0051188	cofactor biosynthetic process	66	3	2.27	168	0.054	0.398	NA	NA
GO:0009123	nucleoside monophosphate metabolic proce...	97	3	3.33	268	0.070	0.664	NA	NA
GO:1901069	guanosine-containing compound catabolic ...	14	2	0.48	24	0.081	0.081	NA	NA
GO:0006417	regulation of translation	14	2	0.48	25	0.081	0.081	NA	NA
GO:0040007	growth	135	8	4.64	28	0.081	0.081	NA	NA
GO:0006310	DNA recombination	31	3	1.07	29	0.087	0.087	NA	NA
GO:0046039	GTP metabolic process	15	2	0.52	30	0.091	0.091	NA	NA
GO:0018106	peptidyl-histidine phosphorylation	15	2	0.52	31	0.091	0.091	NA	NA
GO:0080090	regulation of primary metabolic process	119	7	4.09	37	0.094	0.104	NA	NA
GO:0000003	reproduction	13	2	0.45	23	0.098	0.071	NA	NA
GO:0019219	regulation of nucleobase-containing comp...	103	5	3.54	104	0.098	0.275	NA	NA
GO:0006508	proteolysis	77	5	2.65	43	0.118	0.118	NA	NA
GO:0051260	protein homooligomerization	18	2	0.62	46	0.125	0.125	NA	NA
GO:0000272	polysaccharide catabolic process	40	3	1.37	59	0.155	0.155	NA	NA
GO:0009073	aromatic amino acid family biosynthetic ...	35	3	1.2	41	0.181	0.115	NA	NA
GO:0010468	regulation of gene expression	113	6	3.88	66	0.183	0.184	NA	NA
GO:0046130	purine ribonucleoside catabolic process	43	4	1.48	11	0.247	0.056	NA	NA
GO:0098655	cation transmembrane transport	28	2	0.96	91	0.250	0.250	NA	NA
GO:0009169	purine ribonucleoside monophosphate cata...	29	2	1	97	0.263	0.263	NA	NA
GO:2000113	negative regulation of cellular macromol...	24	2	0.82	71	0.268	0.198	NA	NA
GO:1901135	carbohydrate derivative metabolic proces...	188	7	6.46	203	0.272	0.475	NA	NA
GO:0006974	cellular response to DNA damage stimulus	52	2	1.79	234	0.274	0.543	NA	NA
GO:0008299	isoprenoid biosynthetic process	10	1	0.34	111	0.296	0.296	NA	NA
GO:0032269	negative regulation of cellular protein ...	10	1	0.34	112	0.296	0.296	NA	NA
GO:0019954	asexual reproduction	10	1	0.34	113	0.296	0.296	NA	NA
GO:0044267	cellular protein metabolic process	182	8	6.25	106	0.311	0.279	NA	NA
GO:0046903	secretion	11	1	0.38	127	0.320	0.320	NA	NA
GO:0009266	response to temperature stimulus	11	1	0.38	128	0.320	0.320	NA	NA
GO:0006457	protein folding	11	1	0.38	129	0.320	0.320	NA	NA
GO:0071897	DNA biosynthetic process	11	1	0.38	130	0.320	0.320	NA	NA
GO:0034030	ribonucleoside bisphosphate biosynthetic...	11	1	0.38	131	0.320	0.320	NA	NA
GO:0034033	purine nucleoside bisphosphate biosynthe...	11	1	0.38	132	0.320	0.320	NA	NA
GO:0006414	translational elongation	11	1	0.38	133	0.320	0.320	NA	NA
GO:0046129	purine ribonucleoside biosynthetic proce...	11	1	0.38	134	0.320	0.320	NA	NA
GO:0042255	ribosome assembly	11	1	0.38	135	0.320	0.320	NA	NA
GO:0051641	cellular localization	11	1	0.38	136	0.320	0.320	NA	NA
GO:0010629	negative regulation of gene expression	27	2	0.93	82	0.340	0.237	NA	NA
GO:0044403	symbiont process	12	1	0.41	144	0.344	0.344	NA	NA
GO:0000105	histidine biosynthetic process	12	1	0.41	145	0.344	0.344	NA	NA
GO:0033692	cellular polysaccharide biosynthetic pro...	12	1	0.41	146	0.344	0.344	NA	NA
GO:0006081	cellular aldehyde metabolic process	12	1	0.41	147	0.344	0.344	NA	NA
GO:0051604	protein maturation	12	1	0.41	148	0.344	0.344	NA	NA
GO:0008654	phospholipid biosynthetic process	13	1	0.45	157	0.367	0.367	NA	NA
