GO.ID	Term	Annotated	Significant	Expected	Rank in elimFisher	weight01Fisher	elimFisher	Protein	PUF
GO:0030246	carbohydrate binding	44	6	2.18	2	0.0014	0.0187	WP_003512420.1;WP_003516839.1;WP_003518177.1;WP_003518386.1;WP_003518444.1;WP_003519296.1	WP_003512055.1;WP_003512095.1;WP_003513139.1;WP_003513220.1;WP_003513304.1;WP_003513693.1;WP_003515733.1;WP_003516379.1;WP_003517752.1
GO:0016810	hydrolase activity, acting on carbon-nit...	36	5	1.79	3	0.0105	0.0293	WP_003511862.1;WP_003517641.1;WP_003518444.1;WP_003518853.1;WP_003519477.1	WP_003512055.1;WP_003512095.1;WP_003513139.1;WP_003513220.1;WP_003513304.1;WP_003513693.1;WP_003515733.1;WP_003516379.1;WP_003517752.1
GO:0005215	transporter activity	72	6	3.57	10	0.0133	0.1409	WP_003512371.1;WP_003512965.1;WP_003513356.1;WP_003513819.1;WP_003515917.1;WP_003516641.1	WP_003512055.1;WP_003512095.1;WP_003513139.1;WP_003513220.1;WP_003513304.1;WP_003513693.1;WP_003515733.1;WP_003516379.1;WP_003517752.1
GO:0016830	carbon-carbon lyase activity	27	5	1.34	1	0.0136	0.0088	ADU75615.1;WP_003512596.1;WP_003513929.1;WP_003515306.1;WP_003517535.1	WP_003512055.1;WP_003512095.1;WP_003513139.1;WP_003513220.1;WP_003513304.1;WP_003513693.1;WP_003515733.1;WP_003516379.1;WP_003517752.1
GO:0008236	serine-type peptidase activity	23	3	1.14	7	0.0555	0.1016	NA	NA
GO:0008168	methyltransferase activity	55	6	2.73	5	0.0666	0.0502	NA	NA
GO:0097367	carbohydrate derivative binding	318	11	15.78	118	0.0710	0.9484	NA	NA
GO:0008649	rRNA methyltransferase activity	10	2	0.5	6	0.0843	0.0843	NA	NA
GO:0022857	transmembrane transporter activity	68	4	3.37	34	0.1023	0.4403	NA	NA
GO:0016831	carboxy-lyase activity	16	2	0.79	13	0.1864	0.1864	NA	NA
GO:0016787	hydrolase activity	399	23	19.8	17	0.1949	0.2219	NA	NA
GO:0016491	oxidoreductase activity	152	10	7.54	16	0.2444	0.2119	NA	NA
GO:0019829	cation-transporting ATPase activity	18	2	0.89	18	0.2984	0.2235	NA	NA
