GO.ID	Term	Annotated	Significant	Expected	Rank in elimFisher	weight01Fisher	elimFisher	Protein	PUF
GO:0016879	ligase activity, forming carbon-nitrogen...	38	6	1.57	1	0.016	0.0037	WP_003517447.1;WP_003517454.1;WP_003518633.1;WP_003519168.1;WP_003520327.1;WP_003520894.1	WP_003513231.1;WP_003515667.1;WP_003517163.1;WP_003518182.1;ADU75526.1
GO:0030170	pyridoxal phosphate binding	29	4	1.2	8	0.029	0.0286	ADU73379.1;WP_003511604.1;WP_003516678.1;WP_003517667.1	WP_003513231.1;WP_003515667.1;WP_003517163.1;WP_003518182.1;ADU75526.1
GO:0016798	hydrolase activity, acting on glycosyl b...	53	4	2.19	25	0.040	0.1718	WP_003512126.1;WP_003512242.1;WP_003515284.1;WP_003516777.1	WP_003513231.1;WP_003515667.1;WP_003517163.1;WP_003518182.1;ADU75526.1
GO:0140101	catalytic activity, acting on a tRNA	47	4	1.94	18	0.059	0.1250	NA	NA
GO:0016814	hydrolase activity, acting on carbon-nit...	11	2	0.45	11	0.073	0.0726	NA	NA
GO:0016884	carbon-nitrogen ligase activity, with gl...	13	2	0.54	14	0.098	0.0978	NA	NA
GO:0050660	flavin adenine dinucleotide binding	13	2	0.54	15	0.098	0.0978	NA	NA
GO:1901681	sulfur compound binding	15	2	0.62	16	0.125	0.1250	NA	NA
GO:0016811	hydrolase activity, acting on carbon-nit...	15	2	0.62	17	0.125	0.1250	NA	NA
GO:0046914	transition metal ion binding	79	5	3.27	37	0.137	0.2236	NA	NA
GO:0042802	identical protein binding	16	2	0.66	20	0.139	0.1392	NA	NA
GO:0016763	transferase activity, transferring pento...	16	2	0.66	21	0.139	0.1392	NA	NA
GO:0005524	ATP binding	254	14	10.5	22	0.145	0.1446	NA	NA
GO:0050662	coenzyme binding	95	9	3.93	2	0.174	0.0130	NA	NA
GO:0005488	binding	841	36	34.78	49	0.186	0.4179	NA	NA
GO:0008757	S-adenosylmethionine-dependent methyltra...	20	2	0.83	31	0.199	0.1989	NA	NA
GO:0016772	transferase activity, transferring phosp...	134	4	5.54	110	0.200	0.8251	NA	NA
