GO.ID	Term	Annotated	Significant	Expected	Rank in elimFisher	weight01Fisher	elimFisher	Protein	PUF
GO:0008094	DNA-dependent ATPase activity	20	5	1.14	1	0.0042	0.0042	WP_003513364.1;WP_003513535.1;WP_003514554.1;WP_003516351.1;WP_003519255.1	WP_003515910.1;WP_003516560.1;WP_003517004.1;WP_003517995.1;WP_003518688.1;WP_003518876.1;WP_003520265.1;ADU73917.1
GO:0030248	cellulose binding	23	5	1.31	2	0.0079	0.0079	WP_003512704.1;WP_003518175.1;WP_003519072.1;WP_003520969.1;WP_014522594.1	WP_003515910.1;WP_003516560.1;WP_003517004.1;WP_003517995.1;WP_003518688.1;WP_003518876.1;WP_003520265.1;ADU73917.1
GO:0005524	ATP binding	254	23	14.5	3	0.0097	0.0097	WP_003512025.1;WP_003512710.1;WP_003513261.1;WP_003513364.1;WP_003513509.1;WP_003513535.1;WP_003513782.1;WP_003513827.1;WP_003513891.1;WP_003514218.1;WP_003514554.1;WP_003514578.1;WP_003514673.1;WP_003515509.1;WP_003515563.1;WP_003516337.1;WP_003516351.1;WP_003517038.1;WP_003517772.1;WP_003518725.1;WP_003519255.1;WP_003520820.1;WP_003521240.1	WP_003515910.1;WP_003516560.1;WP_003517004.1;WP_003517995.1;WP_003518688.1;WP_003518876.1;WP_003520265.1;ADU73917.1
GO:0004519	endonuclease activity	28	5	1.6	6	0.0184	0.0184	WP_003514317.1;WP_003514554.1;WP_003515732.1;WP_003516243.1;WP_003516337.1	WP_003515910.1;WP_003516560.1;WP_003517004.1;WP_003517995.1;WP_003518688.1;WP_003518876.1;WP_003520265.1;ADU73917.1
GO:0003899	DNA-directed 5'-3' RNA polymerase activi...	11	3	0.63	7	0.0211	0.0211	ADU74393.1;WP_003512418.1;WP_003515363.1	WP_003515910.1;WP_003516560.1;WP_003517004.1;WP_003517995.1;WP_003518688.1;WP_003518876.1;WP_003520265.1;ADU73917.1
GO:0016881	acid-amino acid ligase activity	11	3	0.63	8	0.0211	0.0211	WP_003514578.1;WP_003515509.1;WP_003521240.1	WP_003515910.1;WP_003516560.1;WP_003517004.1;WP_003517995.1;WP_003518688.1;WP_003518876.1;WP_003520265.1;ADU73917.1
GO:0019843	rRNA binding	40	6	2.28	11	0.0228	0.0228	WP_003514647.1;WP_003514673.1;WP_003515020.1;WP_003515021.1;WP_003518557.1;WP_003518897.1	WP_003515910.1;WP_003516560.1;WP_003517004.1;WP_003517995.1;WP_003518688.1;WP_003518876.1;WP_003520265.1;ADU73917.1
GO:0004553	hydrolase activity, hydrolyzing O-glycos...	45	7	2.57	4	0.0294	0.0115	WP_003512704.1;WP_003514085.1;WP_003517499.1;WP_003518175.1;WP_003519072.1;WP_003520969.1;WP_014522594.1	WP_003515910.1;WP_003516560.1;WP_003517004.1;WP_003517995.1;WP_003518688.1;WP_003518876.1;WP_003520265.1;ADU73917.1
GO:0003690	double-stranded DNA binding	14	3	0.8	15	0.0412	0.0412	WP_003516337.1;WP_003516351.1;WP_003519255.1	WP_003515910.1;WP_003516560.1;WP_003517004.1;WP_003517995.1;WP_003518688.1;WP_003518876.1;WP_003520265.1;ADU73917.1
GO:0003735	structural constituent of ribosome	52	6	2.97	18	0.0704	0.0704	NA	NA
GO:0003676	nucleic acid binding	306	25	17.46	12	0.0862	0.0252	NA	NA
GO:0032561	guanyl ribonucleotide binding	45	5	2.57	21	0.1047	0.1083	NA	NA
GO:0016987	sigma factor activity	10	2	0.57	20	0.1074	0.1074	NA	NA
GO:0000049	tRNA binding	21	3	1.2	23	0.1133	0.1133	NA	NA
GO:0000287	magnesium ion binding	60	6	3.42	25	0.1212	0.1212	NA	NA
GO:0003924	GTPase activity	23	3	1.31	27	0.1393	0.1393	NA	NA
GO:0004672	protein kinase activity	30	4	1.71	19	0.1431	0.0867	NA	NA
GO:0003678	DNA helicase activity	13	2	0.74	31	0.1670	0.1670	NA	NA
GO:0008810	cellulase activity	13	2	0.74	32	0.1670	0.1670	NA	NA
GO:0016884	carbon-nitrogen ligase activity, with gl...	13	2	0.74	33	0.1670	0.1670	NA	NA
GO:0016879	ligase activity, forming carbon-nitrogen...	38	6	2.17	5	0.1967	0.0179	NA	NA
GO:0042802	identical protein binding	16	2	0.91	42	0.2309	0.2309	NA	NA
GO:0000155	phosphorelay sensor kinase activity	17	2	0.97	44	0.2526	0.2526	NA	NA
GO:0030246	carbohydrate binding	44	7	2.51	61	0.2540	0.3147	NA	NA
GO:0008080	N-acetyltransferase activity	18	2	1.03	50	0.2744	0.2744	NA	NA
GO:0005198	structural molecule activity	58	7	3.31	16	0.2859	0.0422	NA	NA
GO:0051536	iron-sulfur cluster binding	64	5	3.65	58	0.2883	0.2994	NA	NA
GO:0008135	translation factor activity, RNA binding	19	2	1.08	57	0.2961	0.2961	NA	NA
GO:0016651	oxidoreductase activity, acting on NAD(P...	17	2	0.97	45	0.2963	0.2526	NA	NA
GO:0032550	purine ribonucleoside binding	55	5	3.14	37	0.3113	0.2002	NA	NA
GO:0005525	GTP binding	35	3	2	62	0.3223	0.3223	NA	NA
GO:0003677	DNA binding	177	13	10.1	36	0.4121	0.1970	NA	NA
GO:0016741	transferase activity, transferring one-c...	64	3	3.65	111	0.4174	0.7225	NA	NA
GO:0004812	aminoacyl-tRNA ligase activity	25	2	1.43	71	0.4230	0.4230	NA	NA
GO:0004386	helicase activity	23	3	1.31	28	0.4394	0.1393	NA	NA
GO:0043022	ribosome binding	10	1	0.57	74	0.4456	0.4456	NA	NA
GO:0008137	NADH dehydrogenase (ubiquinone) activity	10	1	0.57	75	0.4456	0.4456	NA	NA
GO:0004540	ribonuclease activity	10	1	0.57	76	0.4456	0.4456	NA	NA
GO:0016747	transferase activity, transferring acyl ...	33	3	1.88	56	0.4737	0.2901	NA	NA
GO:0004536	deoxyribonuclease activity	11	1	0.63	80	0.4775	0.4775	NA	NA
GO:0046872	metal ion binding	269	18	15.35	46	0.4905	0.2565	NA	NA
GO:0008270	zinc ion binding	46	3	2.63	82	0.4953	0.4953	NA	NA
GO:0016829	lyase activity	91	5	5.19	95	0.4979	0.6064	NA	NA
GO:0016791	phosphatase activity	12	1	0.68	83	0.5076	0.5076	NA	NA
GO:0016782	transferase activity, transferring sulfu...	13	1	0.74	85	0.5360	0.5360	NA	NA
GO:0050660	flavin adenine dinucleotide binding	13	1	0.74	86	0.5360	0.5360	NA	NA
GO:0051539	4 iron, 4 sulfur cluster binding	31	2	1.77	88	0.5376	0.5376	NA	NA
GO:0140097	catalytic activity, acting on DNA	56	5	3.2	39	0.5417	0.2106	NA	NA
GO:0016887	ATPase activity	98	8	5.59	120	0.5525	0.8072	NA	NA
GO:0016301	kinase activity	83	7	4.74	34	0.5698	0.1886	NA	NA
