qpid	cluster_GSZ	cluster_RM1sum	cluster_size	cluster_desccount	RM2	val_avg	jac_avg	desc	genename
WP_037295074.1	89.2096116788	16.1425850684	33	440275	0.871246443153	0.463325372212	7.56045743e-06	Class I SAM-dependent methyltransferase	
WP_037295074.1	113.204779783	0.504258810931	1	268	0.804741802244	0.319734074787	4.15347044295e-05	Cypemycin methyltransferase	
WP_037295074.1	60.2803222773	0.479406396049	1	854	0.623464079261	0.0176451716394	4.69082102525e-07	Bifunctional 3-demethylubiquinone-9 3-methyltransferase/ 2-octaprenyl-6-hydroxy phenol methylase	
WP_037295074.1	25.5712176193	0.979642520775	2	19714	0.618578133948	0.0346219655652	2.57522023097e-07	Ubiquinone biosynthesis O-methyltransferase	
WP_037295074.1	26.1011964856	0.473672365371	1	4437	0.600440478594	0.0	0.0	3-demethylubiquinone-9 3-methyltransferase	
WP_003515994.1	822.201210269	0.699614554676	1	42	1.1832543169	0.49881852552	7.13121474974e-07	NAD(P)HX epimerase / NAD(P)HX dehydratase	
WP_003515994.1	354.345473152	1.41040906122	2	919	0.731738189261	0.0	0.0	Phage-associated protein	
WP_004463341.1	97.4726785949	21.4577859606	44	498419	0.802278676987	0.326961255654	7.00261814404e-06	Class I SAM-dependent methyltransferase	
WP_004463341.1	90.3763871344	0.460194292561	1	268	0.747207043422	0.228407699776	2.03843468106e-05	Cypemycin methyltransferase	
WP_004463341.1	44.1718656936	1.93252051514	4	19714	0.623081130278	0.0290799527207	4.5295342594e-07	Ubiquinone biosynthesis O-methyltransferase	
WP_004463341.1	19.2125397243	0.471213806017	1	6188	0.602942732058	0.00992021613407	8.08427685932e-08	Methylase	
WP_004463341.1	12.7825338918	0.528563155543	1	17456	0.601310404806	0.0116931909325	2.73485078841e-09	Cyclopropane-fatty-acyl-phospholipid synthase	
WP_003516833.1	285.135406438	1.68968762945	3	3187	0.801935899671	0.184682237914	7.55006900429e-06	HNH endonuclease [Hungateiclostridium thermocellum]	
WP_003516833.1	46.875971676	0.83003383509	2	28426	0.667479487382	0.110809342749	7.35273167768e-06	HNHc domain-containing protein	
WP_041740090.1	25.5026061425	1.21314704428	2	133493	1.00984496534	0.772913018097	1.16438950138e-06	Acetyltransferase	
WP_041740090.1	8.25680178604	0.548014095526	1	255559	0.712111839354	0.224168126095	5.90486406858e-07	GNAT family N-acetyltransferase	
WP_041740090.1	12.5093214439	0.626198846761	1	146936	0.595003728578	0.0	0.0	N-acetyltransferase domain-containing protein	
WP_003512571.1	72.432697718	28.1468044455	38	643894	0.703239917986	0.158993622614	1.09456814545e-05	Transcriptional regulator	
