qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
WP_037295074.1	MF	0008168	methyltransferase activity	5.19067285837	0.63550986004	1
WP_037295074.1	BP	0032259	methylation	5.0655403797	0.631498088193	1
WP_004463341.1	MF	0008168	methyltransferase activity	5.1908127505	0.635514317785	1
WP_004463341.1	BP	0032259	methylation	5.06567689943	0.631502491878	1
WP_003516833.1	MF	0004519	endonuclease activity	6.06834374819	0.662385803432	1
WP_003516833.1	BP	0090305	nucleic acid phosphodiester bond hydrolysis	5.24563164477	0.637256554276	1
WP_003516833.1	MF	0003676	nucleic acid binding	1.61112370213	0.48900242933	5
WP_041740090.1	MF	0008080	N-acetyltransferase activity	6.63866965758	0.678816743728	1
WP_003515426.1	MF	0008233	peptidase activity	4.66436330529	0.618290430562	1
WP_003515426.1	BP	0006508	proteolysis	4.35536942289	0.607725457276	1
WP_003519116.1	BP	0007165	signal transduction	4.29114956773	0.605483107874	1
WP_003519116.1	CC	0016021	integral component of membrane	0.786234179937	0.433448618109	1
WP_003515965.1	MF	0008080	N-acetyltransferase activity	6.6574003848	0.679344149305	1
WP_080514932.1	MF	0043565	sequence-specific DNA binding	6.22431589328	0.666953365686	1
WP_080514932.1	BP	0006355	regulation of transcription, DNA-templated	3.54532754227	0.578097663463	1
WP_080514932.1	MF	0003700	DNA-binding transcription factor activity	4.61549085539	0.616643229328	2
WP_003521167.1	CC	0016021	integral component of membrane	0.783039663991	0.433186795265	1
WP_003514254.1	MF	0016301	kinase activity	4.30420614386	0.605940353039	1
WP_003514254.1	BP	0016310	phosphorylation	3.55243553571	0.578371592418	1
WP_080514909.1	MF	0140078	class I DNA-(apurinic or apyrimidinic site) endonuclease activity	10.1445235924	0.767168806169	1
WP_080514909.1	BP	0006284	base-excision repair	8.3316204451	0.723813215145	1
WP_080514909.1	BP	0006289	nucleotide-excision repair	8.32672396992	0.723690041083	2
WP_080514909.1	MF	0016799	hydrolase activity, hydrolyzing N-glycosyl compounds	8.54986497099	0.729267009055	3
WP_080514909.1	MF	0003684	damaged DNA binding	8.43466518116	0.726397027973	4
WP_080514909.1	MF	0008270	zinc ion binding	5.01434290688	0.629842418149	7
WP_003518577.1	CC	0043592	exosporium	16.7614374866	0.860978912496	1
WP_080547390.1	CC	0016021	integral component of membrane	0.769220885912	0.432048006292	1
WP_003517787.1	CC	0016021	integral component of membrane	0.787773426374	0.433574585001	1
WP_003512342.1	MF	0003677	DNA binding	3.08683282955	0.559807467587	1
WP_003514556.1	MF	0004252	serine-type endopeptidase activity	7.00591343307	0.68902532202	1
WP_003514556.1	BP	0006508	proteolysis	4.35128541765	0.607583351328	1
WP_003516602.1	MF	0016301	kinase activity	4.23177303661	0.603394894837	1
WP_003516602.1	BP	0016310	phosphorylation	3.49265356069	0.576059088159	1
WP_080514924.1	BP	0000160	phosphorelay signal transduction system	5.10831077477	0.632874832059	1
WP_080514924.1	MF	0003677	DNA binding	3.08879574974	0.559888566248	1
WP_003512947.1	MF	0005509	calcium ion binding	4.36322236074	0.607998518889	1
WP_003512947.1	BP	0006508	proteolysis	1.76173140684	0.497424294576	1
WP_003512947.1	CC	0016021	integral component of membrane	0.317103018186	0.386464880092	1
WP_003512947.1	MF	0004252	serine-type endopeptidase activity	2.83652680621	0.549245717845	2
WP_003518929.1	CC	0016021	integral component of membrane	0.784668631625	0.433320372209	1
WP_003518353.1	CC	0016021	integral component of membrane	0.787383551587	0.433542690571	1
WP_003511555.1	CC	0016021	integral component of membrane	0.787672827877	0.43356635611	1
WP_003511555.1	BP	0009403	toxin biosynthetic process	0.684596192897	0.424838956707	1
